Data structure size: 9315092096 bits , construction time: 1319110763246 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4163748,166.623,167.919,ns,,,,,,0,0,2,2.37454e+13
"BM_run/2",4159212,166.959,168.224,ns,,,,,,0,0,3,2.37195e+13
"BM_run/3",4262662,162.545,164.004,ns,,,,,,0,0,5,1.50241e+13
"BM_run/4",4317061,160.614,161.944,ns,,,,,,0,0,8,9.40389e+12
"BM_run/5",3975880,174.88,176.119,ns,,,,,,0,0,13,5.3526e+12
"BM_run/6",4050561,171.803,173.117,ns,,,,,,0,0,21,3.37023e+12
"BM_run/7",3934508,176.938,178.137,ns,,,,,,0,0,34,2.02323e+12
"BM_run/8",3847530,179.907,181.682,ns,,,,,,0,0,55,1.22279e+12
"BM_run/9",3959891,174.744,176.655,ns,,,,,,0,0,89,7.7779e+11
"BM_run/10",3848402,180.749,182.046,ns,,,,,,0,0,144,4.67169e+11
"BM_run/11",3621721,191.82,193.61,ns,,,,,,0,0,233,2.71716e+11
"BM_run/12",3630582,191.309,192.628,ns,,,,,,0,0,377,1.68343e+11
"BM_run/13",3484668,198.85,200.824,ns,,,,,,0,0,610,9.98566e+10
"BM_run/14",3191428,217.974,219.424,ns,,,,,,0,0,987,5.65234e+10
"BM_run/15",3046317,228.162,229.962,ns,,,,,,0,0,1597,3.33419e+10
"BM_run/16",2644261,263.622,264.719,ns,,,,,,0,0,2584,1.78884e+10
"BM_run/17",2210720,315.635,316.708,ns,,,,,,0,0,4181,9.24081e+09
"BM_run/18",1655259,421.349,422.927,ns,,,,,,0,0,6765,4.27719e+09
"BM_run/19",1265680,551.628,552.983,ns,,,,,,0,0,10946,2.02003e+09
"BM_run/20",878734,795.292,796.931,ns,,,,,,0,0,17711,8.6731e+08
"BM_run/21",528739,1319.19,1323.85,ns,,,,,,0,0,28657,3.22002e+08
"BM_run/22",355688,1963.01,1966.92,ns,,,,,,0,0,46368,1.34094e+08
"BM_run/23",230198,3036.48,3040.82,ns,,,,,,0,0,75025,5.34059e+07
"BM_run/24",145944,4795.94,4796.44,ns,,,,,,0,0,121393,2.10159e+07
"BM_run/25",92278,7588.96,7587.41,ns,,,,,,0,0,196418,8.12046e+06
"BM_run/26",55772,12549.9,12545.6,ns,,,,,,0,0,317811,3.06746e+06
"BM_run/27",34188,20451.9,20469.1,ns,,,,,,0,0,514229,1.1282e+06
"BM_run/28",19977,34971.3,34968.5,ns,,,,,,0,0,832040,419517
"BM_run/29",11497,60823.7,60785.1,ns,,,,,,0,0,1.34627e+06,137964
"BM_run/30",7087,98908.3,98820.7,ns,,,,,,0,0,2.17831e+06,56696
"BM_run/31",4383,159941,159810,ns,,,,,,0,0,3.52458e+06,17532
"BM_run/32",2716,257877,257664,ns,,,,,,0,0,5.70289e+06,8148
"BM_run/33",1790,388351,387942,ns,,,,,,0,1790,9.22746e+06,1790
