Data structure size: 9309128768 bits , construction time: 49914560788 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",31058,22540,22539.1,ns,,,,,,0,0,2,1.7712e+11
"BM_run/2",30921,22641.4,22636.9,ns,,,,,,0,0,3,1.76339e+11
"BM_run/3",60977,11475.3,11481.1,ns,,,,,,0,0,5,2.14918e+11
"BM_run/4",60378,11587,11593.6,ns,,,,,,0,0,8,1.31522e+11
"BM_run/5",30217,23166.3,23166.3,ns,,,,,,0,0,13,4.06802e+10
"BM_run/6",60731,11520.7,11526.4,ns,,,,,,0,0,21,5.05306e+10
"BM_run/7",40361,17342.7,17343.5,ns,,,,,,0,0,34,2.07548e+10
"BM_run/8",40509,17277.1,17279.7,ns,,,,,,0,0,55,1.28742e+10
"BM_run/9",40281,17375.8,17377.9,ns,,,,,,0,0,89,7.91187e+09
"BM_run/10",59810,11699.6,11704.5,ns,,,,,,0,0,144,7.26052e+09
"BM_run/11",40174,17423.2,17424.2,ns,,,,,,0,0,233,3.01401e+09
"BM_run/12",59851,11691.4,11695.8,ns,,,,,,0,0,377,2.77517e+09
"BM_run/13",39712,17625.7,17627.3,ns,,,,,,0,0,610,1.13799e+09
"BM_run/14",39666,17645.2,17647.6,ns,,,,,,0,0,987,7.02525e+08
"BM_run/15",38829,18026.6,18027.8,ns,,,,,,0,0,1597,4.24983e+08
"BM_run/16",56218,12447.6,12451.9,ns,,,,,,0,0,2584,3.80315e+08
"BM_run/17",36737,19055.4,19056.3,ns,,,,,,0,0,4181,1.53561e+08
"BM_run/18",49749,14066.3,14070.5,ns,,,,,,0,0,6765,1.28551e+08
"BM_run/19",31478,22238,22237.4,ns,,,,,,0,0,10946,5.02389e+07
"BM_run/20",28735,24362.4,24357.8,ns,,,,,,0,0,17711,2.83614e+07
"BM_run/21",26595,26329,26318.4,ns,,,,,,0,0,28657,1.61964e+07
"BM_run/22",42472,16491.7,16485,ns,,,,,,0,0,46368,1.60119e+07
"BM_run/23",33944,20627.2,20617.9,ns,,,,,,0,0,75025,7.87501e+06
"BM_run/24",25252,27725.3,27711.3,ns,,,,,,0,0,121393,3.63629e+06
"BM_run/25",14754,47466.9,47442.4,ns,,,,,,0,0,196418,1.29835e+06
"BM_run/26",13813,50757.5,50731.7,ns,,,,,,0,0,317811,759715
"BM_run/27",11638,60170.6,60130.7,ns,,,,,,0,0,514229,384054
"BM_run/28",10959,63875.1,63823.8,ns,,,,,,0,0,832040,230139
"BM_run/29",7053,99423.9,99336.7,ns,,,,,,0,0,1.34627e+06,84636
"BM_run/30",5615,124652,124553,ns,,,,,,0,0,2.17831e+06,44920
"BM_run/31",3320,211081,210905,ns,,,,,,0,0,3.52458e+06,13280
"BM_run/32",2247,311810,311509,ns,,,,,,0,0,5.70289e+06,6741
"BM_run/33",1393,501631,501154,ns,,,,,,0,0,9.22746e+06,1393
