Data structure size: 91805132736 bits , construction time: 417833729910 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,609.275,609.89,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,420.55,417.026,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,1538.2,1533.3,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,672.835,666.561,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,1072.74,1066.51,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,1129.73,1122.46,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,1342.28,1335.31,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,866.883,858.383,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,1063.99,1056.54,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,1216.22,1208.38,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,1518,1508.88,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,2012.09,2002.97,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,1923.39,1914.51,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,2077.63,2069.66,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,2234.15,2225.91,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,2245.01,2236.23,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,2333.71,2325.83,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,2369.07,2360.61,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,2423.17,2414.71,ns,,,,,,0,0,100,100755
"BM_run/200/iterations:10000",10000,2805.66,2797.55,ns,,,,,,0,0,200,10419
"BM_run/300/iterations:10000",10000,3115.31,3106.45,ns,,,,,,0,0,300,10008
"BM_run/400/iterations:10000",10000,3111.47,3103.1,ns,,,,,,0,0,400,10001
"BM_run/500/iterations:10000",10000,3090.47,3082.91,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,3408.25,3399.29,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,3409.78,3400.47,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,3405.67,3396.3,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,3407.39,3398.7,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,3432.14,3422.76,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,3769.51,3759.15,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,3785.88,3776.07,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,3784.45,3774.45,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,3791.9,3782.72,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,3824.16,3813.84,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,3824.95,3815.29,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,3842.43,3831.37,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,3848.91,3838.46,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,3851.66,3841.58,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,3968.86,3958.32,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,4037.3,4027.07,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,4173.53,4163.88,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,4320.62,4312,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,4441.74,4433.12,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,4546.12,4537.09,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,4672.4,4662.35,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,4775.51,4765.55,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,4878.87,4868.55,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,6056.73,6043.16,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,7460.37,7440.85,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,9129.71,9099.95,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,10925.1,10887.7,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,12788.9,12745.1,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,14664.8,14614,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,16591.3,16527.8,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,18460.9,18396.7,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,20553.9,20466.7,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,51902.2,51735,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,85739.5,85473.2,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,120448,120077,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,156486,156025,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,193249,192706,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,230701,230078,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,268227,267502,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,306645,305843,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,345021,344116,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,736606,734709,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.13921e+06,1.13619e+06,ns,,,,,,0,0,3e+07,10000
