Data structure size: 91805747136 bits , construction time: 167993493663 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,495.28,497.05,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,376.139,373.09,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,1427.88,1422.98,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,605.956,600.324,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,864.1,857.5,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,813.381,806.463,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,974.239,967.21,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,729.373,722.216,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,861.727,854.272,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,904,896.395,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,1121.49,1112.85,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,1436.57,1427.89,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,1497.61,1488.57,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,1652.78,1644.16,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,1795.57,1787.34,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,1823.36,1814.13,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,1920.43,1911.59,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,1972.52,1962.92,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,2030.57,2021,ns,,,,,,0,0,100,100755
"BM_run/200/iterations:10000",10000,2381.01,2372.07,ns,,,,,,0,0,200,10419
"BM_run/300/iterations:10000",10000,2717.38,2708.31,ns,,,,,,0,0,300,10008
"BM_run/400/iterations:10000",10000,2701.22,2693.73,ns,,,,,,0,0,400,10001
"BM_run/500/iterations:10000",10000,2718.11,2709.8,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,3083.41,3074.85,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,3086.59,3077.09,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,3090.09,3081.76,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,3077.81,3069.8,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,3114.68,3105.31,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,3540,3530.71,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,3545.21,3535.42,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,3525.17,3514.45,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,3582.31,3572.57,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,3591.06,3580.63,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,3571.95,3560.58,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,3604.91,3594.74,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,3625.41,3614.72,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,3621.82,3610.92,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,3763.98,3752.97,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,3856.79,3847.39,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,4050.89,4042.07,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,4217.64,4210.03,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,4343.87,4334.64,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,4472.24,4463.67,ns,,,,,,0,0,70000,10000
