Data structure size: 91805337536 bits , construction time: 100534910866 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,562.041,560.704,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,365.358,361.94,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,1398.49,1393.77,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,597.43,591.331,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,861.953,855.094,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,795.429,787.99,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,932.663,924.829,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,701.096,693.337,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,833.164,825.21,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,851.845,843.434,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,973.892,965.02,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,1153.81,1146.03,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,1101.94,1093.33,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,1164.71,1156.68,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,1202.07,1194.26,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,1175.69,1167.65,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,1231.8,1223.68,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,1239.05,1231.17,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,1231.52,1223.05,ns,,,,,,0,0,100,100755
"BM_run/200/iterations:10000",10000,1325.2,1317.29,ns,,,,,,0,0,200,10419
"BM_run/300/iterations:10000",10000,1434.2,1428.35,ns,,,,,,0,0,300,10008
"BM_run/400/iterations:10000",10000,1418.15,1412.16,ns,,,,,,0,0,400,10001
"BM_run/500/iterations:10000",10000,1404.66,1398.03,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1561.3,1555.61,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1566.56,1560.72,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1578.97,1573.09,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,1555.82,1550.34,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,1562.6,1556.24,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,1704.22,1697.49,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,1714.91,1708.55,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,1706.95,1700.48,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,1707.48,1700.11,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,1720.6,1712.88,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,1731.59,1724.39,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,1722.58,1715.29,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,1727.83,1720.22,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,1708.23,1700.84,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,1745.15,1737.25,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1731.91,1722.81,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,1730.97,1721.31,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,1761.56,1751.48,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,1724.08,1714.33,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,1759.77,1748.97,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,1753.19,1742.58,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,1776.81,1765.37,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,1767.08,1755.4,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,1786.36,1772.8,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,1786.13,1769.84,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,1825.46,1805.4,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,1831.06,1807.99,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,1864.83,1840.2,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,1865.73,1836.66,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,1950.51,1918.9,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,1981.31,1941.66,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,1976.53,1931.15,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,2270.94,2164.89,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,2350.43,2225.21,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,2466.97,2330.15,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,2545.89,2400.98,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,2617.61,2436.21,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,2681.71,2489.52,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,2776.1,2579.83,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,2804.29,2597.35,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,2857.87,2651.89,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,3072.46,2819.8,ns,,,,,,0,0,2e+07,10000
