Data structure size: 91805747136 bits , construction time: 165624644494 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,487.119,487.453,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,374.488,370.908,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,1386.43,1381.55,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,602.126,596.005,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,862.226,855.632,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,828.744,821.627,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,973.615,966.065,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,727.232,719.271,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,861.533,853.728,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,901.199,893.379,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,1125.61,1116.94,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,1431.28,1421.84,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,1504.95,1495.86,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,1659.21,1650.79,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,1807.41,1799.21,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,1820.04,1811.25,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,1920.81,1912.53,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,1983.68,1975.65,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,2011.94,2003.31,ns,,,,,,0,0,100,100755
"BM_run/200/iterations:10000",10000,2357.85,2350.36,ns,,,,,,0,0,200,10419
"BM_run/300/iterations:10000",10000,2703.21,2695.18,ns,,,,,,0,0,300,10008
"BM_run/400/iterations:10000",10000,2696.89,2688.1,ns,,,,,,0,0,400,10001
"BM_run/500/iterations:10000",10000,2715.45,2706.87,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,3102.5,3093.86,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,3070.4,3062.22,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,3074.95,3066.48,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,3085.29,3078.3,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,3106.88,3097.97,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,3528.13,3519.43,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,3526.4,3516.88,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,3490.58,3481.57,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,3553.42,3543.89,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,3521.22,3510.68,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,3508.02,3497.71,ns,,,,,,0,0,7000,10000
