Data structure size: 91805137344 bits , construction time: 26855896149 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,432.891,433.23,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,369.993,367.582,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,1420.04,1415.33,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,594.671,589.153,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,938.57,931.992,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,1002.05,995.127,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,1191.71,1184.72,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,771.499,764.927,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,923.359,916.025,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,1066.79,1059.48,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,1302.83,1293.72,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,1506.58,1499.48,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,1375.05,1367.55,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,1470.17,1463.33,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,1585.47,1578.29,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,1514.48,1507.81,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,1571.82,1565.03,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,1591.45,1584.6,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,1607.15,1601.11,ns,,,,,,0,0,100,100755
"BM_run/200/iterations:10000",10000,1777.06,1771.01,ns,,,,,,0,0,200,10419
