Data structure size: 91805542720 bits , construction time: 100701593740 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,2687.11,2693.85,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,1371.87,1368.87,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,3219.63,3216.17,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,1849.15,1843.81,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,2675.92,2672.3,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,2425.31,2420.81,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,2940.55,2935.26,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,2059.91,2054.71,ns,,,,,,0,2,8,1.49201e+09
"BM_run/9/iterations:10000",10000,2507.43,2502.53,ns,,,,,,0,5,9,1.25219e+09
"BM_run/10/iterations:10000",10000,2523.79,2518.63,ns,,,,,,0,2,10,1.04853e+09
"BM_run/20/iterations:10000",10000,2836.36,2829.93,ns,,,,,,0,3,20,1.90979e+08
"BM_run/30/iterations:10000",10000,3420.97,3413.49,ns,,,,,,0,3,30,9.022e+07
"BM_run/40/iterations:10000",10000,3199.21,3191,ns,,,,,,0,5,40,3.91474e+07
"BM_run/50/iterations:10000",10000,3390.59,3383.27,ns,,,,,,0,4,50,7.70178e+06
"BM_run/60/iterations:10000",10000,3567.89,3560.12,ns,,,,,,0,3,60,2.06057e+06
"BM_run/70/iterations:10000",10000,3379.79,3371.67,ns,,,,,,0,5,70,607224
"BM_run/80/iterations:10000",10000,3470.12,3460.64,ns,,,,,,0,6,80,428257
"BM_run/90/iterations:10000",10000,3532.11,3523.5,ns,,,,,,0,3,90,269535
"BM_run/100/iterations:10000",10000,3510.86,3502.99,ns,,,,,,0,6,100,100755
"BM_run/200/iterations:10000",10000,3710.18,3701.24,ns,,,,,,0,2,200,10419
"BM_run/300/iterations:10000",10000,3841.64,3832.39,ns,,,,,,0,5,300,10008
"BM_run/400/iterations:10000",10000,3832.05,3823.37,ns,,,,,,0,2,400,10001
"BM_run/500/iterations:10000",10000,3842.47,3834.28,ns,,,,,,0,4,500,10000
"BM_run/600/iterations:10000",10000,3991.24,3983.46,ns,,,,,,0,6,600,10000
"BM_run/700/iterations:10000",10000,4007.32,3999.81,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,4031.43,4023.52,ns,,,,,,0,4,800,10000
"BM_run/900/iterations:10000",10000,3987.81,3979.38,ns,,,,,,0,6,900,10000
"BM_run/1000/iterations:10000",10000,3998.81,3991.73,ns,,,,,,0,6,1000,10000
"BM_run/2000/iterations:10000",10000,4207.49,4199.32,ns,,,,,,0,4,2000,10000
"BM_run/3000/iterations:10000",10000,4332.09,4323.53,ns,,,,,,0,2,3000,10000
"BM_run/4000/iterations:10000",10000,4377.97,4370.65,ns,,,,,,0,4,4000,10000
"BM_run/5000/iterations:10000",10000,4427.91,4418.06,ns,,,,,,0,5,5000,10000
"BM_run/6000/iterations:10000",10000,4459.45,4450.37,ns,,,,,,0,6,6000,10000
"BM_run/7000/iterations:10000",10000,4483.73,4475.02,ns,,,,,,0,3,7000,10000
"BM_run/8000/iterations:10000",10000,4489.59,4482.39,ns,,,,,,0,7,8000,10000
"BM_run/9000/iterations:10000",10000,4553.42,4545.53,ns,,,,,,0,10,9000,10000
"BM_run/10000/iterations:10000",10000,4539.1,4531.77,ns,,,,,,0,7,10000,10000
"BM_run/20000/iterations:10000",10000,4857.36,4849.59,ns,,,,,,0,6,20000,10000
"BM_run/30000/iterations:10000",10000,5181.12,5174.29,ns,,,,,,0,2,30000,10000
"BM_run/40000/iterations:10000",10000,5323.58,5316.66,ns,,,,,,0,3,40000,10000
"BM_run/50000/iterations:10000",10000,5478.09,5471.33,ns,,,,,,0,1,50000,10000
"BM_run/60000/iterations:10000",10000,5926.38,5918.16,ns,,,,,,0,3,60000,10000
"BM_run/70000/iterations:10000",10000,6183.61,6173.92,ns,,,,,,0,1,70000,10000
