Data structure size: 13421773248 bits , construction time: 2779968326 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1.22625e+07,1.22559e+07,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,2.13114e+06,2.12997e+06,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,1.03463e+06,1.03405e+06,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,657856,657486,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,502065,501780,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,420789,420549,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,326623,326426,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,264999,264838,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,224352,224215,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,188467,188346,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,36853,36819.9,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,19073.4,19053.1,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,10199.1,10185.7,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,4698.43,4692.1,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,3658.79,3651.52,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,3401.51,3395.52,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,3342.1,3335.32,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,3310.91,3304.63,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,3268.45,3262.63,ns,,,,,,0,0,100,100755
"BM_run/200/iterations:10000",10000,3257.42,3251.02,ns,,,,,,0,0,200,10419
"BM_run/300/iterations:10000",10000,3282.64,3275.77,ns,,,,,,0,0,300,10008
"BM_run/400/iterations:10000",10000,3331.26,3324.15,ns,,,,,,0,0,400,10001
"BM_run/500/iterations:10000",10000,3362.9,3357.04,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,3413.11,3406.81,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,3474.91,3467.31,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,3517.18,3510.4,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,3541.78,3534.78,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,3604.58,3597.96,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,3998.4,3990.99,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,4413.57,4404.82,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,4825.39,4815.36,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,5230.42,5220.25,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,5633.81,5622.95,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,6074.9,6064.95,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,6491.54,6480.14,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,6896.68,6884.34,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,7335.18,7323.05,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,11439,11424.1,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,15556.4,15538.2,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,19639.3,19619.4,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,23761.9,23737.2,ns,,,,,,0,0,50000,10000
