Data structure size: 91805337536 bits , construction time: 145304590789 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,175.004,175.742,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,176.137,176.851,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,211.95,212.777,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,210.555,211.161,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,313.059,313.245,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,475.639,474.35,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,618.291,616.131,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,667.642,664.336,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,778.456,774.833,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,731.164,726.35,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,1000.22,995.27,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,1063.61,1058.31,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,1121.24,1117.68,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,1145.96,1141.93,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,1122.41,1118.93,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,1223.59,1220.38,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,1218.81,1214.94,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,1229.12,1225.55,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,1226.25,1222.57,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,1316.83,1313.31,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,1444.37,1442.84,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,1419.84,1418.02,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,1433.15,1430.2,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,1562.95,1561.9,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,1562.53,1561.44,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,1563.1,1561.82,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,1579.4,1577.46,ns,,,,,,0,0,900,10090
"BM_run/1000/iterations:10000",10000,1567.31,1566.29,ns,,,,,,0,0,1000,10093
"BM_run/2000/iterations:10000",10000,1750.26,1749.41,ns,,,,,,0,0,2000,10051
"BM_run/3000/iterations:10000",10000,1979.35,1977.78,ns,,,,,,0,0,3000,10049
"BM_run/4000/iterations:10000",10000,2007,2005.5,ns,,,,,,0,0,4000,10047
"BM_run/5000/iterations:10000",10000,2338.04,2336.19,ns,,,,,,0,0,5000,10028
"BM_run/6000/iterations:10000",10000,2365.92,2363.22,ns,,,,,,0,0,6000,10031
"BM_run/7000/iterations:10000",10000,2344.49,2341.94,ns,,,,,,0,0,7000,10021
"BM_run/8000/iterations:10000",10000,2357.26,2356.08,ns,,,,,,0,0,8000,10021
"BM_run/9000/iterations:10000",10000,2795.28,2792.5,ns,,,,,,0,0,9000,10025
"BM_run/10000/iterations:10000",10000,2842.56,2839.89,ns,,,,,,0,0,10000,10015
"BM_run/20000/iterations:10000",10000,3592.77,3589.41,ns,,,,,,0,0,20000,10005
"BM_run/30000/iterations:10000",10000,3703.16,3699.3,ns,,,,,,0,0,30000,10010
"BM_run/40000/iterations:10000",10000,4313.36,4309.21,ns,,,,,,0,0,40000,10002
"BM_run/50000/iterations:10000",10000,4445.63,4441.73,ns,,,,,,0,0,50000,10008
"BM_run/60000/iterations:10000",10000,4582.47,4576.84,ns,,,,,,0,0,60000,10006
"BM_run/70000/iterations:10000",10000,5670.58,5664.1,ns,,,,,,0,0,70000,10002
"BM_run/80000/iterations:10000",10000,5683.23,5677.14,ns,,,,,,0,0,80000,10001
"BM_run/90000/iterations:10000",10000,5668.07,5662.51,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,5693.35,5685.62,ns,,,,,,0,0,100000,10000
