Data structure size: 91805747136 bits , construction time: 233002870454 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,175.351,173.833,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,174.582,172.579,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,202.956,201.127,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,218.89,217.027,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,324.614,322.534,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,497.989,495.401,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,626.211,622.611,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,677.059,672.394,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,794.948,790.084,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,753.812,749.602,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,1214.14,1208.29,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,1328.33,1323.3,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,1522.66,1517.97,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,1538.95,1534.93,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,1556.31,1551.86,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,1820.24,1817.29,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,1803.76,1800.06,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,1807.68,1804.81,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,1816.43,1813.3,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,2089.88,2086.79,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,2401.93,2398.31,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,2428.64,2425.08,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,2421.74,2418.58,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,2773.95,2771.7,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,2802.36,2799.21,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,2787.63,2783.81,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,2793.7,2790.24,ns,,,,,,0,0,900,10090
"BM_run/1000/iterations:10000",10000,2792.63,2790.05,ns,,,,,,0,0,1000,10093
"BM_run/2000/iterations:10000",10000,3244.72,3241.6,ns,,,,,,0,0,2000,10051
"BM_run/3000/iterations:10000",10000,3786.07,3782.18,ns,,,,,,0,0,3000,10049
"BM_run/4000/iterations:10000",10000,3797.77,3792.86,ns,,,,,,0,0,4000,10047
