Data structure size: 91805137344 bits , construction time: 32424232158 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,179.122,180.099,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,181.43,181.518,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,219.014,219.829,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,218.095,219.077,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,355.224,355.394,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,540.543,539.604,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,769.893,767.918,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,668.689,665.569,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,1015.98,1011.85,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,1168.4,1163.69,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,1557.23,1553.02,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,1619.42,1616.68,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,1742.01,1739.53,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,1776.25,1773.14,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,1773.18,1770.66,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,1864.8,1862.94,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,1855.09,1853.3,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,1859.41,1857.27,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,1853.92,1852.11,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,2029.38,2027.45,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,2142.22,2140.95,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,2152.91,2150.71,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,2145.39,2143.53,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,2297.6,2296.15,ns,,,,,,0,0,600,10114
