Data structure size: 91805542720 bits , construction time: 147500351000 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1376.75,1379.12,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,1214.82,1217.24,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,1622.26,1626.1,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,1106.35,1107.88,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,1774.02,1776.95,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,1634.96,1636.52,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,2711.44,2712.64,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,1902.74,1902.11,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,2894.78,2894.15,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,2081.49,2079.22,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,3494.71,3492.15,ns,,,,,,0,18,20,756996
"BM_run/30/iterations:10000",10000,3570.27,3567.44,ns,,,,,,0,12,30,167402
"BM_run/40/iterations:10000",10000,3651.25,3648.64,ns,,,,,,0,23,40,39228
"BM_run/50/iterations:10000",10000,3701.51,3698.03,ns,,,,,,0,19,50,24201
"BM_run/60/iterations:10000",10000,3703.18,3698.67,ns,,,,,,0,19,60,19098
"BM_run/70/iterations:10000",10000,3780.44,3777.25,ns,,,,,,0,25,70,14503
"BM_run/80/iterations:10000",10000,3786.44,3783.16,ns,,,,,,0,18,80,13045
"BM_run/90/iterations:10000",10000,3779.91,3776.81,ns,,,,,,0,23,90,11713
"BM_run/100/iterations:10000",10000,3787.81,3784.35,ns,,,,,,0,9,100,12060
"BM_run/200/iterations:10000",10000,3870.18,3866.81,ns,,,,,,0,22,200,10225
"BM_run/300/iterations:10000",10000,4041.71,4038.53,ns,,,,,,0,21,300,10153
"BM_run/400/iterations:10000",10000,4071.09,4067.53,ns,,,,,,0,14,400,10121
"BM_run/500/iterations:10000",10000,4052.12,4048.99,ns,,,,,,0,12,500,10149
"BM_run/600/iterations:10000",10000,4176.13,4173.18,ns,,,,,,0,15,600,10114
"BM_run/700/iterations:10000",10000,4174.99,4172.7,ns,,,,,,0,23,700,10098
"BM_run/800/iterations:10000",10000,4185.37,4182.11,ns,,,,,,0,17,800,10093
"BM_run/900/iterations:10000",10000,4194.24,4191.61,ns,,,,,,0,24,900,10090
"BM_run/1000/iterations:10000",10000,4203.87,4200.86,ns,,,,,,0,23,1000,10093
"BM_run/2000/iterations:10000",10000,4454.03,4450.94,ns,,,,,,0,15,2000,10051
"BM_run/3000/iterations:10000",10000,4739.7,4736.07,ns,,,,,,0,14,3000,10049
"BM_run/4000/iterations:10000",10000,4854.35,4850.87,ns,,,,,,0,16,4000,10047
"BM_run/5000/iterations:10000",10000,5203.57,5199.92,ns,,,,,,0,26,5000,10028
"BM_run/6000/iterations:10000",10000,5237.81,5233.73,ns,,,,,,0,24,6000,10031
"BM_run/7000/iterations:10000",10000,5328.63,5324.61,ns,,,,,,0,18,7000,10021
"BM_run/8000/iterations:10000",10000,5387.5,5382.45,ns,,,,,,0,21,8000,10021
"BM_run/9000/iterations:10000",10000,5838.71,5833.25,ns,,,,,,0,19,9000,10025
"BM_run/10000/iterations:10000",10000,5841.76,5837.06,ns,,,,,,0,23,10000,10015
"BM_run/20000/iterations:10000",10000,6277.12,6271.95,ns,,,,,,0,19,20000,10005
"BM_run/30000/iterations:10000",10000,6735.51,6729.04,ns,,,,,,0,27,30000,10010
"BM_run/40000/iterations:10000",10000,6894.78,6887.76,ns,,,,,,0,21,40000,10002
"BM_run/50000/iterations:10000",10000,6950.49,6943.03,ns,,,,,,0,16,50000,10008
"BM_run/60000/iterations:10000",10000,7460.4,7452.69,ns,,,,,,0,29,60000,10006
"BM_run/70000/iterations:10000",10000,7659.93,7652.02,ns,,,,,,0,22,70000,10002
"BM_run/80000/iterations:10000",10000,8193.7,8186.01,ns,,,,,,0,18,80000,10001
"BM_run/90000/iterations:10000",10000,8201.54,8194.02,ns,,,,,,0,23,90000,10000
"BM_run/100000/iterations:10000",10000,8352.96,8345.53,ns,,,,,,0,23,100000,10000
"BM_run/200000/iterations:10000",10000,11130,11119.5,ns,,,,,,0,21,200000,10000
"BM_run/300000/iterations:10000",10000,13978.1,13958.5,ns,,,,,,0,10,300000,10000
"BM_run/400000/iterations:10000",10000,16799.6,16776.1,ns,,,,,,0,23,400000,10000
"BM_run/500000/iterations:10000",10000,19831.1,19799.2,ns,,,,,,0,16,500000,10000
"BM_run/600000/iterations:10000",10000,22889.6,22854.6,ns,,,,,,0,19,600000,10000
"BM_run/700000/iterations:10000",10000,25847,25801.8,ns,,,,,,0,18,700000,10000
"BM_run/800000/iterations:10000",10000,28905.5,28854.1,ns,,,,,,0,15,800000,10000
"BM_run/900000/iterations:10000",10000,31847.6,31784,ns,,,,,,0,18,900000,10000
"BM_run/1000000/iterations:10000",10000,34577.8,34506.9,ns,,,,,,0,19,1e+06,10000
"BM_run/2000000/iterations:10000",10000,69472.4,69309.7,ns,,,,,,0,22,2e+06,10000
"BM_run/3000000/iterations:10000",10000,106953,106707,ns,,,,,,0,19,3e+06,10000
"BM_run/4000000/iterations:10000",10000,145942,145608,ns,,,,,,0,19,4e+06,10000
