Data structure size: 91805132736 bits , construction time: 544889962350 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,640.727,641.3,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,354.733,352.968,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,1356.53,1351.88,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,665.611,660.412,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,1541.88,1534.97,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,1243.37,1235.44,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,1808.34,1799.68,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,865.832,857.805,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,1267.47,1259.03,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,1376.25,1366.79,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,1941.07,1933.35,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,2042,2035.01,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,2314.31,2306.95,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,2315.05,2307.95,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,2325.48,2318.15,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,2590.22,2583.52,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,2611.92,2605.04,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,2640.02,2632.37,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,2600.22,2592.94,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,2892.26,2885.68,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,3174.8,3168.09,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,3179.29,3172.42,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,3201.14,3192.19,ns,,,,,,0,0,500,14009
"BM_run/600/iterations:10000",10000,3456.77,3450.29,ns,,,,,,0,0,600,13967
"BM_run/700/iterations:10000",10000,3457.81,3450.78,ns,,,,,,0,0,700,13870
"BM_run/800/iterations:10000",10000,3484.43,3476.71,ns,,,,,,0,0,800,13800
"BM_run/900/iterations:10000",10000,3478.87,3471.09,ns,,,,,,0,0,900,13832
"BM_run/1000/iterations:10000",10000,3505.29,3497.89,ns,,,,,,0,0,1000,13699
"BM_run/2000/iterations:10000",10000,3807.43,3799.61,ns,,,,,,0,0,2000,13211
"BM_run/3000/iterations:10000",10000,4134.78,4126.57,ns,,,,,,0,0,3000,12906
"BM_run/4000/iterations:10000",10000,4196.25,4189.72,ns,,,,,,0,0,4000,12554
"BM_run/5000/iterations:10000",10000,4542.01,4533.71,ns,,,,,,0,0,5000,12357
"BM_run/6000/iterations:10000",10000,4613.18,4605.12,ns,,,,,,0,0,6000,12129
"BM_run/7000/iterations:10000",10000,4696.19,4687.52,ns,,,,,,0,0,7000,12103
"BM_run/8000/iterations:10000",10000,4779.54,4770.16,ns,,,,,,0,0,8000,11897
"BM_run/9000/iterations:10000",10000,5255.34,5246.49,ns,,,,,,0,0,9000,11802
"BM_run/10000/iterations:10000",10000,5332.61,5323.75,ns,,,,,,0,0,10000,11741
"BM_run/20000/iterations:10000",10000,6694.21,6684.69,ns,,,,,,0,0,20000,11117
"BM_run/30000/iterations:10000",10000,7144.38,7134.95,ns,,,,,,0,0,30000,10886
"BM_run/40000/iterations:10000",10000,9250.35,9240,ns,,,,,,0,0,40000,10789
"BM_run/50000/iterations:10000",10000,9637.82,9628.21,ns,,,,,,0,0,50000,10646
"BM_run/60000/iterations:10000",10000,9831.57,9820.23,ns,,,,,,0,0,60000,10605
"BM_run/70000/iterations:10000",10000,13638.4,13623.1,ns,,,,,,0,0,70000,10539
"BM_run/80000/iterations:10000",10000,13809.4,13796.3,ns,,,,,,0,0,80000,10490
"BM_run/90000/iterations:10000",10000,13961.7,13948.1,ns,,,,,,0,0,90000,10475
"BM_run/100000/iterations:10000",10000,14141.6,14128.6,ns,,,,,,0,0,100000,10444
"BM_run/200000/iterations:10000",10000,19363.9,19342.4,ns,,,,,,0,0,200000,10326
"BM_run/300000/iterations:10000",10000,27925.7,27892,ns,,,,,,0,0,300000,10206
"BM_run/400000/iterations:10000",10000,29593.9,29555.5,ns,,,,,,0,0,400000,10125
