Data structure size: 91805747136 bits , construction time: 214569985693 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,528.689,528.583,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,307.476,305.001,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,1249.7,1243.55,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,627.367,620.512,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,1326.47,1317.7,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,854.684,845.742,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,1268.76,1258.27,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,796.19,786.363,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,970.582,960.192,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,942.884,931.783,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,1294.47,1283.05,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,1343.28,1331.75,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,1542.66,1532.18,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,1528.32,1518.34,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,1554.64,1544.12,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,1795.89,1786.22,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,1790.68,1781.05,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,1789.84,1780.55,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,1797.02,1786.84,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,2097.24,2088.5,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,2388.91,2379.65,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,2423.37,2414.48,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,2419.26,2410.6,ns,,,,,,0,0,500,14009
"BM_run/600/iterations:10000",10000,2768.46,2759.7,ns,,,,,,0,0,600,13967
"BM_run/700/iterations:10000",10000,2773.9,2764.38,ns,,,,,,0,0,700,13870
"BM_run/800/iterations:10000",10000,2808.96,2799.79,ns,,,,,,0,0,800,13800
"BM_run/900/iterations:10000",10000,2814.36,2805.22,ns,,,,,,0,0,900,13832
"BM_run/1000/iterations:10000",10000,2834.86,2826.26,ns,,,,,,0,0,1000,13699
"BM_run/2000/iterations:10000",10000,3278.68,3269.31,ns,,,,,,0,0,2000,13211
"BM_run/3000/iterations:10000",10000,3815.37,3805.23,ns,,,,,,0,0,3000,12906
"BM_run/4000/iterations:10000",10000,3962.61,3951.38,ns,,,,,,0,0,4000,12554
"BM_run/5000/iterations:10000",10000,4698.79,4687.69,ns,,,,,,0,0,5000,12357
"BM_run/6000/iterations:10000",10000,4789.94,4777.38,ns,,,,,,0,0,6000,12129
"BM_run/7000/iterations:10000",10000,4959.94,4945.53,ns,,,,,,0,0,7000,12103
"BM_run/8000/iterations:10000",10000,5023.75,5011.44,ns,,,,,,0,0,8000,11897
"BM_run/9000/iterations:10000",10000,6225.34,6213.33,ns,,,,,,0,0,9000,11802
"BM_run/10000/iterations:10000",10000,6263.61,6251.53,ns,,,,,,0,0,10000,11741
"BM_run/20000/iterations:10000",10000,7674.49,7662.23,ns,,,,,,0,0,20000,11117
"BM_run/30000/iterations:10000",10000,8014.08,8002.47,ns,,,,,,0,0,30000,10886
"BM_run/40000/iterations:10000",10000,10487.1,10474,ns,,,,,,0,0,40000,10789
"BM_run/50000/iterations:10000",10000,10698.4,10683.7,ns,,,,,,0,0,50000,10646
"BM_run/60000/iterations:10000",10000,10844.4,10830.9,ns,,,,,,0,0,60000,10605
"BM_run/70000/iterations:10000",10000,15654.2,15637.4,ns,,,,,,0,0,70000,10539
"BM_run/80000/iterations:10000",10000,15800.7,15781.8,ns,,,,,,0,0,80000,10490
"BM_run/90000/iterations:10000",10000,15937.3,15916.7,ns,,,,,,0,0,90000,10475
"BM_run/100000/iterations:10000",10000,16068.2,16049.3,ns,,,,,,0,0,100000,10444
"BM_run/200000/iterations:10000",10000,26793.9,26760.4,ns,,,,,,0,0,200000,10326
"BM_run/300000/iterations:10000",10000,46871.4,46819,ns,,,,,,0,0,300000,10206
"BM_run/400000/iterations:10000",10000,48461.4,48402.4,ns,,,,,,0,0,400000,10125
"BM_run/500000/iterations:10000",10000,50037.7,49970.9,ns,,,,,,0,0,500000,10062
"BM_run/600000/iterations:10000",10000,87736,87622.9,ns,,,,,,0,0,600000,10043
"BM_run/700000/iterations:10000",10000,88005.3,87884,ns,,,,,,0,0,700000,10031
"BM_run/800000/iterations:10000",10000,88288.4,88157,ns,,,,,,0,0,800000,10019
"BM_run/900000/iterations:10000",10000,88553.2,88409.4,ns,,,,,,0,0,900000,10009
"BM_run/1000000/iterations:10000",10000,88878.4,88721,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,90456.1,90210.5,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,90489.1,90213.1,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,90614.5,90310.3,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,90780.2,90458.3,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,90818.4,90449.2,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,90894.6,90528.4,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,90989.5,90633.3,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,91170.6,90796.2,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,91188.4,90833.7,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,91744.7,91306.6,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,92177,91624.8,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,92660,92000,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,92783.8,92091.4,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,92874.7,92206.5,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,92973.2,92290.4,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,93184.7,92505.9,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,93273.1,92597.4,ns,,,,,,0,0,9e+07,10000
