Data structure size: 91805137344 bits , construction time: 72087067541 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,462.6,462.693,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,302.914,300.208,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,1263.65,1258.95,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,603.005,596.272,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,1422.18,1413.65,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,1134.48,1124.69,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,1637.37,1627.82,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,783.567,772.198,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,1091.9,1080.77,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,1223.07,1211.19,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,1472.74,1462.61,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,1495.33,1485.58,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,1660.61,1652.22,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,1660.04,1650.21,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,1658.14,1649.61,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,1738.56,1729.79,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,1744.33,1734.91,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,1752.67,1744.04,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,1743.17,1734.2,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,1907.26,1897.84,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,1992.38,1983.92,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,2000.01,1991.93,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,2014.49,2005.62,ns,,,,,,0,0,500,14009
"BM_run/600/iterations:10000",10000,2134.78,2126.46,ns,,,,,,0,0,600,13967
"BM_run/700/iterations:10000",10000,2137.66,2128.78,ns,,,,,,0,0,700,13870
"BM_run/800/iterations:10000",10000,2144.28,2134.91,ns,,,,,,0,0,800,13800
"BM_run/900/iterations:10000",10000,2150.92,2141.53,ns,,,,,,0,0,900,13832
"BM_run/1000/iterations:10000",10000,2163.14,2154.51,ns,,,,,,0,0,1000,13699
"BM_run/2000/iterations:10000",10000,2403.9,2393.69,ns,,,,,,0,0,2000,13211
"BM_run/3000/iterations:10000",10000,2624.67,2615.34,ns,,,,,,0,0,3000,12906
"BM_run/4000/iterations:10000",10000,2685.57,2675.4,ns,,,,,,0,0,4000,12554
"BM_run/5000/iterations:10000",10000,2912.59,2902.69,ns,,,,,,0,0,5000,12357
"BM_run/6000/iterations:10000",10000,2962.19,2951.82,ns,,,,,,0,0,6000,12129
"BM_run/7000/iterations:10000",10000,3019.15,3006.91,ns,,,,,,0,0,7000,12103
"BM_run/8000/iterations:10000",10000,3050.5,3038.06,ns,,,,,,0,0,8000,11897
"BM_run/9000/iterations:10000",10000,3339.53,3327.93,ns,,,,,,0,0,9000,11802
"BM_run/10000/iterations:10000",10000,3388.48,3377.16,ns,,,,,,0,0,10000,11741
"BM_run/20000/iterations:10000",10000,4154.61,4143,ns,,,,,,0,0,20000,11117
"BM_run/30000/iterations:10000",10000,4406.68,4396.45,ns,,,,,,0,0,30000,10886
"BM_run/40000/iterations:10000",10000,5475.6,5467.72,ns,,,,,,0,0,40000,10789
