Data structure size: 91805235520 bits , construction time: 551529158650 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,17001.6,17001,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,8850.3,8845.98,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,14443.9,14435.5,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,8664.58,8657.62,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,14193.3,14181.9,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,10251.3,10241.5,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,14764.7,14751.4,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,9636.36,9625.02,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,13444.8,13432.9,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,12160.6,12149,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,16042.7,16027.4,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,16498.5,16484.1,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,16729.2,16712.4,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,16764.7,16749.8,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,16736.4,16720.5,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,16942.8,16926.4,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,16972.6,16956.6,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,17143.4,17124.4,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,16933.4,16916.2,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,17354.7,17338.1,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,17490.5,17475.1,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,17613.6,17597.8,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,17598.5,17579.9,ns,,,,,,0,0,500,14009
"BM_run/600/iterations:10000",10000,17769.1,17752.5,ns,,,,,,0,0,600,13967
"BM_run/700/iterations:10000",10000,17744,17727.6,ns,,,,,,0,0,700,13870
"BM_run/800/iterations:10000",10000,17746.3,17729.4,ns,,,,,,0,0,800,13800
"BM_run/900/iterations:10000",10000,17990.4,17975,ns,,,,,,0,0,900,13832
"BM_run/1000/iterations:10000",10000,18019.7,18003.5,ns,,,,,,0,0,1000,13699
"BM_run/2000/iterations:10000",10000,18294.5,18275.6,ns,,,,,,0,0,2000,13211
"BM_run/3000/iterations:10000",10000,18599.4,18581.3,ns,,,,,,0,0,3000,12906
"BM_run/4000/iterations:10000",10000,19017.5,19000.5,ns,,,,,,0,0,4000,12554
"BM_run/5000/iterations:10000",10000,19284.2,19265.2,ns,,,,,,0,0,5000,12357
"BM_run/6000/iterations:10000",10000,19335,19315.3,ns,,,,,,0,0,6000,12129
"BM_run/7000/iterations:10000",10000,19619.7,19600,ns,,,,,,0,0,7000,12103
"BM_run/8000/iterations:10000",10000,19822.6,19803.4,ns,,,,,,0,0,8000,11897
"BM_run/9000/iterations:10000",10000,20197,20179.1,ns,,,,,,0,0,9000,11802
"BM_run/10000/iterations:10000",10000,20308.8,20287.2,ns,,,,,,0,0,10000,11741
"BM_run/20000/iterations:10000",10000,22605.8,22582.8,ns,,,,,,0,0,20000,11117
"BM_run/30000/iterations:10000",10000,24268.1,24244.6,ns,,,,,,0,0,30000,10886
"BM_run/40000/iterations:10000",10000,27232.6,27204.7,ns,,,,,,0,0,40000,10789
"BM_run/50000/iterations:10000",10000,28885,28854.1,ns,,,,,,0,0,50000,10646
"BM_run/60000/iterations:10000",10000,29918.8,29886.1,ns,,,,,,0,0,60000,10605
"BM_run/70000/iterations:10000",10000,27710.5,27682,ns,,,,,,0,0,70000,10539
"BM_run/80000/iterations:10000",10000,28779.9,28749.1,ns,,,,,,0,0,80000,10490
"BM_run/90000/iterations:10000",10000,29703.8,29674.3,ns,,,,,,0,0,90000,10475
"BM_run/100000/iterations:10000",10000,30930.7,30897.8,ns,,,,,,0,0,100000,10444
"BM_run/200000/iterations:10000",10000,35199.6,35159.8,ns,,,,,,0,0,200000,10326
"BM_run/300000/iterations:10000",10000,42726.7,42680,ns,,,,,,0,0,300000,10206
"BM_run/400000/iterations:10000",10000,46735.9,46676.5,ns,,,,,,0,0,400000,10125
"BM_run/500000/iterations:10000",10000,54252.9,54176.7,ns,,,,,,0,0,500000,10062
"BM_run/600000/iterations:10000",10000,58304.4,58215.2,ns,,,,,,0,0,600000,10043
"BM_run/700000/iterations:10000",10000,65901.3,65798.9,ns,,,,,,0,0,700000,10031
"BM_run/800000/iterations:10000",10000,69923.3,69808.1,ns,,,,,,0,0,800000,10019
"BM_run/900000/iterations:10000",10000,77362.7,77238.8,ns,,,,,,0,0,900000,10009
"BM_run/1000000/iterations:10000",10000,81415.3,81265.4,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,144017,143654,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,207556,206984,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,269142,268439,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,334227,333384,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,400110,399107,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,465029,463929,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,528014,526758,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,595088,593697,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,661602,660000,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,1.33167e+06,1.32877e+06,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,2.01932e+06,2.0151e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,2.71466e+06,2.70921e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,3.4082e+06,3.40162e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,4.10367e+06,4.09578e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,4.79767e+06,4.78811e+06,ns,,,,,,0,0,7e+07,10000
