Data structure size: 91805542720 bits , construction time: 136951562432 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,1495.89,1499.31,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,1364.17,1362.52,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,3086.18,3085.77,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,1826.29,1822.23,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,3452.81,3448.96,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,2331.35,2326.57,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,3462.07,3458.32,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,2141.1,2135.22,ns,,,,,,0,11,8,2.84488e+07
"BM_run/9/iterations:10000",10000,2995.42,2989.99,ns,,,,,,0,4,9,1.25244e+07
"BM_run/10/iterations:10000",10000,2667.78,2662.15,ns,,,,,,0,13,10,7.02439e+06
"BM_run/20/iterations:10000",10000,3536.5,3529.49,ns,,,,,,0,17,20,939030
"BM_run/30/iterations:10000",10000,3610.31,3603.03,ns,,,,,,0,17,30,253131
"BM_run/40/iterations:10000",10000,3627.87,3621.04,ns,,,,,,0,15,40,458713
"BM_run/50/iterations:10000",10000,3620.6,3614.72,ns,,,,,,0,18,50,151362
"BM_run/60/iterations:10000",10000,3591.83,3585.43,ns,,,,,,0,20,60,37337
"BM_run/70/iterations:10000",10000,3700.4,3693.66,ns,,,,,,0,9,70,19942
"BM_run/80/iterations:10000",10000,3722.6,3715.78,ns,,,,,,0,15,80,22011
"BM_run/90/iterations:10000",10000,3694.18,3688.8,ns,,,,,,0,19,90,19057
"BM_run/100/iterations:10000",10000,3661.32,3654.77,ns,,,,,,0,18,100,18546
"BM_run/200/iterations:10000",10000,3801.44,3794.88,ns,,,,,,0,16,200,15711
"BM_run/300/iterations:10000",10000,3967.4,3960.99,ns,,,,,,0,13,300,14682
"BM_run/400/iterations:10000",10000,3968.92,3961.82,ns,,,,,,0,11,400,14251
"BM_run/500/iterations:10000",10000,3953.71,3948.36,ns,,,,,,0,15,500,14009
"BM_run/600/iterations:10000",10000,4066.56,4059.82,ns,,,,,,0,10,600,13967
"BM_run/700/iterations:10000",10000,4110.82,4104.36,ns,,,,,,0,13,700,13870
"BM_run/800/iterations:10000",10000,4116.82,4110.05,ns,,,,,,0,11,800,13800
"BM_run/900/iterations:10000",10000,4126.1,4117.35,ns,,,,,,0,9,900,13832
"BM_run/1000/iterations:10000",10000,4171.58,4165.33,ns,,,,,,0,19,1000,13699
"BM_run/2000/iterations:10000",10000,4376.16,4369.15,ns,,,,,,0,14,2000,13211
"BM_run/3000/iterations:10000",10000,4677.71,4669.45,ns,,,,,,0,14,3000,12906
"BM_run/4000/iterations:10000",10000,4814.13,4806.22,ns,,,,,,0,11,4000,12554
"BM_run/5000/iterations:10000",10000,5104.09,5094.55,ns,,,,,,0,9,5000,12357
"BM_run/6000/iterations:10000",10000,5208.46,5200.25,ns,,,,,,0,8,6000,12129
"BM_run/7000/iterations:10000",10000,5315.2,5306.4,ns,,,,,,0,12,7000,12103
"BM_run/8000/iterations:10000",10000,5369.95,5360.87,ns,,,,,,0,8,8000,11897
"BM_run/9000/iterations:10000",10000,5737.36,5727.46,ns,,,,,,0,6,9000,11802
"BM_run/10000/iterations:10000",10000,5786.24,5777.87,ns,,,,,,0,13,10000,11741
"BM_run/20000/iterations:10000",10000,6340.83,6331.86,ns,,,,,,0,14,20000,11117
"BM_run/30000/iterations:10000",10000,6945.47,6937.55,ns,,,,,,0,7,30000,10886
"BM_run/40000/iterations:10000",10000,7073.31,7065.3,ns,,,,,,0,7,40000,10789
"BM_run/50000/iterations:10000",10000,7267.81,7259.57,ns,,,,,,0,9,50000,10646
"BM_run/60000/iterations:10000",10000,7729.34,7721.22,ns,,,,,,0,13,60000,10605
"BM_run/70000/iterations:10000",10000,7844.7,7836.14,ns,,,,,,0,8,70000,10539
"BM_run/80000/iterations:10000",10000,8393.94,8385.26,ns,,,,,,0,8,80000,10490
"BM_run/90000/iterations:10000",10000,8479.87,8470.93,ns,,,,,,0,18,90000,10475
"BM_run/100000/iterations:10000",10000,8623.26,8614.33,ns,,,,,,0,9,100000,10444
"BM_run/200000/iterations:10000",10000,11434,11420.7,ns,,,,,,0,6,200000,10326
"BM_run/300000/iterations:10000",10000,14432.9,14413,ns,,,,,,0,4,300000,10206
"BM_run/400000/iterations:10000",10000,17405.6,17379.5,ns,,,,,,0,7,400000,10125
"BM_run/500000/iterations:10000",10000,20396.3,20361.2,ns,,,,,,0,11,500000,10062
"BM_run/600000/iterations:10000",10000,23572.8,23529.7,ns,,,,,,0,5,600000,10043
"BM_run/700000/iterations:10000",10000,26542.5,26490.9,ns,,,,,,0,4,700000,10031
"BM_run/800000/iterations:10000",10000,29557.9,29498.3,ns,,,,,,0,9,800000,10019
"BM_run/900000/iterations:10000",10000,32655.3,32584.2,ns,,,,,,0,9,900000,10009
"BM_run/1000000/iterations:10000",10000,35399.3,35311.2,ns,,,,,,0,10,1e+06,10000
"BM_run/2000000/iterations:10000",10000,70583.6,70395,ns,,,,,,0,5,2e+06,10000
"BM_run/3000000/iterations:10000",10000,108128,107863,ns,,,,,,0,8,3e+06,10000
"BM_run/4000000/iterations:10000",10000,147115,146770,ns,,,,,,0,9,4e+06,10000
"BM_run/5000000/iterations:10000",10000,187562,187142,ns,,,,,,0,9,5e+06,10000
"BM_run/6000000/iterations:10000",10000,228787,228283,ns,,,,,,0,9,6e+06,10000
"BM_run/7000000/iterations:10000",10000,269561,268963,ns,,,,,,0,10,7e+06,10000
"BM_run/8000000/iterations:10000",10000,309153,308470,ns,,,,,,0,7,8e+06,10000
"BM_run/9000000/iterations:10000",10000,351733,350952,ns,,,,,,0,7,9e+06,10000
"BM_run/10000000/iterations:10000",10000,394508,393600,ns,,,,,,0,7,1e+07,10000
"BM_run/20000000/iterations:10000",10000,834224,832360,ns,,,,,,0,8,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.28358e+06,1.28072e+06,ns,,,,,,0,9,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.68674e+06,1.6835e+06,ns,,,,,,0,6,4e+07,10000
"BM_run/50000000/iterations:10000",10000,2.07359e+06,2.06942e+06,ns,,,,,,0,8,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.49331e+06,2.48816e+06,ns,,,,,,0,12,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.92442e+06,2.91853e+06,ns,,,,,,0,8,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.35221e+06,3.34559e+06,ns,,,,,,0,7,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.77493e+06,3.76748e+06,ns,,,,,,0,9,9e+07,10000
