Data structure size: 91806157120 bits , construction time: 214852953535 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,3450.99,3456.48,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,2855.82,2855.69,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,5197.62,5196.04,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,3294.46,3290.9,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,5472.76,5467.67,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,3869.11,3863.64,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,5645.12,5639.35,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,3692.27,3687.99,ns,,,,,,0,8,8,2.84488e+07
"BM_run/9/iterations:10000",10000,5022.68,5016.59,ns,,,,,,0,14,9,1.25244e+07
"BM_run/10/iterations:10000",10000,4669.45,4663.83,ns,,,,,,0,10,10,7.02439e+06
"BM_run/20/iterations:10000",10000,6183.61,6175.88,ns,,,,,,0,16,20,939030
"BM_run/30/iterations:10000",10000,6343.29,6335.56,ns,,,,,,0,14,30,253131
"BM_run/40/iterations:10000",10000,6603.78,6594.91,ns,,,,,,0,13,40,458713
"BM_run/50/iterations:10000",10000,6530.99,6522.79,ns,,,,,,0,13,50,151362
"BM_run/60/iterations:10000",10000,6687.16,6677.65,ns,,,,,,0,19,60,37337
"BM_run/70/iterations:10000",10000,6941.54,6933.98,ns,,,,,,0,9,70,19942
"BM_run/80/iterations:10000",10000,6905.84,6897.6,ns,,,,,,0,11,80,22011
"BM_run/90/iterations:10000",10000,6919.24,6912.09,ns,,,,,,0,13,90,19057
"BM_run/100/iterations:10000",10000,6979.29,6971,ns,,,,,,0,14,100,18546
"BM_run/200/iterations:10000",10000,7363,7353.22,ns,,,,,,0,17,200,15711
"BM_run/300/iterations:10000",10000,7554.69,7545.42,ns,,,,,,0,17,300,14682
"BM_run/400/iterations:10000",10000,7678.63,7669.03,ns,,,,,,0,15,400,14251
"BM_run/500/iterations:10000",10000,7798.47,7787.44,ns,,,,,,0,10,500,14009
"BM_run/600/iterations:10000",10000,8081.48,8072.53,ns,,,,,,0,11,600,13967
"BM_run/700/iterations:10000",10000,8121.33,8110.57,ns,,,,,,0,9,700,13870
"BM_run/800/iterations:10000",10000,8158.03,8148.34,ns,,,,,,0,9,800,13800
"BM_run/900/iterations:10000",10000,8326.3,8314.41,ns,,,,,,0,7,900,13832
"BM_run/1000/iterations:10000",10000,8352.85,8341.31,ns,,,,,,0,14,1000,13699
"BM_run/2000/iterations:10000",10000,8918.77,8907.57,ns,,,,,,0,14,2000,13211
"BM_run/3000/iterations:10000",10000,9550.23,9536.14,ns,,,,,,0,11,3000,12906
"BM_run/4000/iterations:10000",10000,9940.63,9927.17,ns,,,,,,0,12,4000,12554
"BM_run/5000/iterations:10000",10000,10794.5,10779.7,ns,,,,,,0,8,5000,12357
"BM_run/6000/iterations:10000",10000,11092,11077.7,ns,,,,,,0,9,6000,12129
"BM_run/7000/iterations:10000",10000,11409.2,11395.1,ns,,,,,,0,14,7000,12103
"BM_run/8000/iterations:10000",10000,11693.7,11677,ns,,,,,,0,10,8000,11897
"BM_run/9000/iterations:10000",10000,11707.1,11690.9,ns,,,,,,0,12,9000,11802
"BM_run/10000/iterations:10000",10000,11843.3,11827.4,ns,,,,,,0,11,10000,11741
"BM_run/20000/iterations:10000",10000,13639.5,13621.2,ns,,,,,,0,8,20000,11117
"BM_run/30000/iterations:10000",10000,15377.2,15361,ns,,,,,,0,17,30000,10886
"BM_run/40000/iterations:10000",10000,16833.6,16816.5,ns,,,,,,0,9,40000,10789
"BM_run/50000/iterations:10000",10000,18451.1,18429.2,ns,,,,,,0,15,50000,10646
"BM_run/60000/iterations:10000",10000,19870.4,19847.7,ns,,,,,,0,13,60000,10605
"BM_run/70000/iterations:10000",10000,21297.9,21271.8,ns,,,,,,0,12,70000,10539
"BM_run/80000/iterations:10000",10000,22868.1,22841.1,ns,,,,,,0,7,80000,10490
"BM_run/90000/iterations:10000",10000,24326.7,24298.1,ns,,,,,,0,9,90000,10475
"BM_run/100000/iterations:10000",10000,25831,25801.7,ns,,,,,,0,8,100000,10444
"BM_run/200000/iterations:10000",10000,40297.6,40253.1,ns,,,,,,0,8,200000,10326
"BM_run/300000/iterations:10000",10000,55033.6,54968.7,ns,,,,,,0,6,300000,10206
"BM_run/400000/iterations:10000",10000,69689.1,69604.6,ns,,,,,,0,11,400000,10125
"BM_run/500000/iterations:10000",10000,84298.6,84189.4,ns,,,,,,0,6,500000,10062
"BM_run/600000/iterations:10000",10000,99122.4,98992.9,ns,,,,,,0,6,600000,10043
"BM_run/700000/iterations:10000",10000,113979,113818,ns,,,,,,0,9,700000,10031
"BM_run/800000/iterations:10000",10000,128551,128359,ns,,,,,,0,10,800000,10019
"BM_run/900000/iterations:10000",10000,143212,142988,ns,,,,,,0,8,900000,10009
"BM_run/1000000/iterations:10000",10000,157876,157626,ns,,,,,,0,8,1e+06,10000
"BM_run/2000000/iterations:10000",10000,306225,305630,ns,,,,,,0,8,2e+06,10000
"BM_run/3000000/iterations:10000",10000,453365,452496,ns,,,,,,0,9,3e+06,10000
"BM_run/4000000/iterations:10000",10000,600867,599720,ns,,,,,,0,7,4e+06,10000
"BM_run/5000000/iterations:10000",10000,747992,746633,ns,,,,,,0,8,5e+06,10000
"BM_run/6000000/iterations:10000",10000,895417,893766,ns,,,,,,0,8,6e+06,10000
"BM_run/7000000/iterations:10000",10000,1.04292e+06,1.04101e+06,ns,,,,,,0,10,7e+06,10000
"BM_run/8000000/iterations:10000",10000,1.19088e+06,1.1887e+06,ns,,,,,,0,7,8e+06,10000
"BM_run/9000000/iterations:10000",10000,1.33765e+06,1.33522e+06,ns,,,,,,0,6,9e+06,10000
"BM_run/10000000/iterations:10000",10000,1.48547e+06,1.48277e+06,ns,,,,,,0,10,1e+07,10000
"BM_run/20000000/iterations:10000",10000,2.96294e+06,2.95758e+06,ns,,,,,,0,6,2e+07,10000
"BM_run/30000000/iterations:10000",10000,4.44364e+06,4.43557e+06,ns,,,,,,0,9,3e+07,10000
"BM_run/40000000/iterations:10000",10000,5.91358e+06,5.90396e+06,ns,,,,,,0,13,4e+07,10000
"BM_run/50000000/iterations:10000",10000,7.36951e+06,7.35853e+06,ns,,,,,,0,12,5e+07,10000
"BM_run/60000000/iterations:10000",10000,8.83852e+06,8.82571e+06,ns,,,,,,0,7,6e+07,10000
"BM_run/70000000/iterations:10000",10000,1.03107e+07,1.02962e+07,ns,,,,,,0,6,7e+07,10000
"BM_run/80000000/iterations:10000",10000,1.17918e+07,1.17756e+07,ns,,,,,,0,9,8e+07,10000
"BM_run/90000000/iterations:10000",10000,1.32667e+07,1.32487e+07,ns,,,,,,0,15,9e+07,10000
