Data structure size: 91805132736 bits , construction time: 523921936060 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,262.427,263.229,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,287.118,287.781,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,943.494,941.744,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,689.167,686.461,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1542.4,1537.82,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,1285.21,1280,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,1511.57,1506.68,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,1488.83,1483.93,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,1553.97,1548.73,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,1601.13,1595.9,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,1838.74,1834.01,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,1954.48,1949.5,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,2075.8,2070.74,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,2121.45,2116.42,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,2210.54,2206.09,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,2240.82,2236.72,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,2308.1,2303.43,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,2315.31,2311.34,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,2338.5,2334.5,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,2557.67,2553.79,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,2761.72,2757.21,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,2835.68,2831.67,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,2906.7,2903.08,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,3093.54,3089.48,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,3148.89,3144.59,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,3154.09,3149.36,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,3171.04,3166.51,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,3195.34,3191.27,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,3566.89,3561.28,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,3942.42,3937.63,ns,,,,,,0,0,3000,17078
