Data structure size: 91805337536 bits , construction time: 129552387199 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,218.035,218.556,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,241.072,242.002,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,844.694,843.89,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,646.433,643.909,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1341.18,1337.38,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,812.607,807.89,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,866.318,861.255,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,866.137,861.282,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,867.381,862.444,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,873.532,868.361,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,965.667,961.093,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,1004.51,1000.23,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,1071.1,1066.87,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,1088.48,1084.07,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,1096.88,1093.71,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,1111.9,1107.99,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,1141.72,1137.44,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,1139.96,1136.37,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,1148.83,1145.14,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,1238.85,1235.46,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,1341.8,1339.18,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,1344.25,1342.56,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,1407.26,1405.18,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,1492.91,1491.4,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,1529.2,1527.57,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,1532.5,1530.56,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,1518.43,1516.7,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,1552.04,1550.44,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,1752.97,1750.34,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,1973.63,1970.84,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,1980.54,1977.86,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,2301.05,2298.43,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,2315.64,2312.53,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,2355.66,2352.04,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,2374.23,2370.88,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,2780.87,2776.35,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,2793.08,2788.55,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,3551.26,3547,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,3621.62,3616.41,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,4212.11,4207.72,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,4354.61,4350.81,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,4431.63,4427.52,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,4550.01,4545.47,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,4663.52,4658.34,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,4783.82,4777.26,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,4887.75,4880.8,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,6086.71,6079.01,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,7510.58,7498.15,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,9101.8,9082.67,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,10838,10811.2,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,12622.8,12594,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,14489.8,14455.1,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,16383.8,16336,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,18237.9,18184,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,20201.3,20142.3,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,50806.9,50674,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,84554.2,84321.7,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,119194,118880,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,155506,155099,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,192378,191885,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,229990,229377,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,267325,266635,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,305238,304462,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,343588,342708,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,735225,733357,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.137e+06,1.13394e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.51319e+06,1.50965e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.90029e+06,1.89593e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.28627e+06,2.28096e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.67549e+06,2.66962e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.05905e+06,3.0523e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.4483e+06,3.44147e+06,ns,,,,,,0,0,9e+07,10000
