Data structure size: 91805132736 bits , construction time: 540724348326 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,266.048,266.488,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,293.266,293.629,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,955.318,954.196,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,718.42,714.985,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1550.69,1546.17,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,1300.42,1295,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,1527.86,1522.6,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,1493.37,1488.7,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,1577.77,1571.98,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,1633.37,1627.99,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,1859.13,1854.03,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,1979.37,1974.96,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,2094.81,2090.4,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,2153.06,2149.32,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,2211.97,2207.8,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,2269.8,2265.85,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,2316.13,2312.2,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,2350.49,2346.86,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,2380.23,2376.65,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,2592.67,2588.3,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,2794.94,2791.31,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,2871.29,2867.85,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,2966.01,2963.35,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,3136.22,3132.6,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,3176.37,3172.52,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,3215.12,3210.43,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,3220.75,3216.62,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,3254.75,3250.75,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,3589.89,3586.21,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,4005.49,4001.13,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,4033.81,4028.27,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,4533.2,4527.68,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,4577.89,4571.52,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,4571.49,4564.98,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,4597.4,4590.57,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,5347.83,5340.36,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,5331.03,5324.22,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,6612.51,6604.4,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,6686.79,6676.93,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,8771.85,8762.59,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,8756.06,8745.9,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,8768.2,8756.96,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,8804.1,8792.6,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,8776.92,8764.9,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,8813.3,8800.79,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,8799.8,8788.63,ns,,,,,,0,0,100000,10000
