Data structure size: 91805337536 bits , construction time: 127060489178 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,213.251,212.875,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,229.674,230.388,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,828.845,827.626,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,647.984,645.802,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1345.39,1340.68,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,812.011,806.644,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,873.386,867.523,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,870.243,864.956,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,863.84,858.366,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,871.206,865.84,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,969.385,964.583,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,1019.47,1014.99,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,1073.25,1068.57,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,1086.88,1082.46,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,1092.64,1088,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,1112.94,1109.33,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,1145.95,1141.7,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,1142.31,1138.95,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,1147.76,1143.44,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,1228.68,1224.74,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,1336.24,1334.29,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,1345.7,1343.26,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,1404.86,1402.63,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,1492.89,1492.1,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,1518.36,1517.42,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,1528.94,1527.97,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,1525.88,1524.91,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,1555.64,1554.24,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,1757,1755.24,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,1954.83,1952.95,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,1977.59,1975.47,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,2299.67,2297.02,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,2320.61,2317.38,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,2333.67,2330.63,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,2350.42,2347.41,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,2768.59,2765.83,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,2782.23,2778.51,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,3528.83,3523.66,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,3604.16,3598.95,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,4149.18,4143.14,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,4166.25,4160.19,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,4149.39,4144.15,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,4163.7,4157.72,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,4167.31,4159.55,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,4167.72,4161.19,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,4177.05,4169.66,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,4219.92,4210.88,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,4261.39,4250.55,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,4270.42,4257.09,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,4319.38,4303.76,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,4375.46,4356.38,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,4451.55,4428.11,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,4521.49,4496.22,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,4596.13,4565.42,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,4658,4624.89,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,5235.46,5140.82,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,5428.71,5314.47,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,5549.57,5425.85,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,5720.6,5585.33,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,5823.95,5672.24,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,5975.5,5806.6,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,6047.86,5890.51,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,6126.1,5961.08,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,6166.47,6000.59,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,6534.04,6318.38,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,6845.18,6549.82,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,7044.92,6686.92,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,7087.07,6708.32,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,7160.8,6775.02,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,7175.84,6791.88,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,7221.4,6834.02,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,7280.8,6845.68,ns,,,,,,0,0,9e+07,10000
