Data structure size: 91805747136 bits , construction time: 208201970199 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,213.04,211.45,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,237.07,235.285,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,832.979,831.366,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,655.161,653.226,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1342.38,1339.4,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,820.52,816.854,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,990.654,986.509,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,974.923,970.481,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,975.434,971.067,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,1002.49,998.325,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,1131.57,1126.57,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,1207.49,1203.7,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,1352.52,1348.14,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,1408.64,1405.4,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,1451.86,1447.74,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,1564.73,1562.07,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,1609.02,1605.17,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,1658.18,1654.81,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,1681.22,1677.46,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,1957.36,1954.65,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,2235.36,2232.87,ns,,,,,,0,0,300,117737
