Data structure size: 91805137344 bits , construction time: 33343195990 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,216.454,214.519,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,242.373,242.39,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,827.701,827.297,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,637.097,634.93,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1424.29,1421.25,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,1179.72,1175.6,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,1363.91,1359.7,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,1167.54,1163.65,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,1212.93,1208.53,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,1263.46,1259.46,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,1427.98,1424.52,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,1487.57,1484.33,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,1453.65,1450.77,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,1470.69,1467.25,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,1525.09,1521.84,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,1539.64,1536.2,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,1572.93,1569.72,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,1590.69,1588.09,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,1591.78,1589.03,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,1699.44,1697.21,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,1795.33,1793.58,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,1857.59,1855.32,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,1907.47,1905.59,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,1957.65,1954.95,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,1982.48,1979.97,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,1997.82,1995.26,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,2016.04,2014.09,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,2026.88,2024.63,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,2284.26,2281.27,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,2537.53,2534.44,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,2572.66,2568.81,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,2843.7,2840.15,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,2846.17,2842.1,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,2871.05,2866.48,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,2892.79,2888.6,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,3239.46,3235.3,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,3248.05,3243.27,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,3849.44,3843.71,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,3906.69,3901.05,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,4749.19,4743.06,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,4750.27,4743.32,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,4754.15,4746.95,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,4787.43,4778.83,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,4763.78,4754.6,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,4782.77,4774.79,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,4792,4783.85,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,4809.41,4799.69,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,4854.22,4840.13,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,4889.35,4874.3,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,4982.05,4962.58,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,5075.11,5054.19,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,5178.88,5152.95,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,5346.47,5315.47,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,5470.02,5432.81,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,5592.34,5550.84,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,6298.32,6197.62,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,6475.47,6357.42,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,6660.75,6529.19,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,6840.8,6703.51,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,6966.29,6826.6,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,7117.21,6968.67,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,7218,7057.19,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,7339.7,7171.65,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,7402.73,7229.61,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,7847.6,7626,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,8190.9,7898.71,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,8430.93,8061.59,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,8569.19,8168.87,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,8747.23,8372.43,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,8701.31,8296.21,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,9183.91,8773,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,9316.15,8901.6,ns,,,,,,0,0,9e+07,10000
