Data structure size: 91805542720 bits , construction time: 131199226829 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,911.973,913.753,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,1231.7,1233.44,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,2784.57,2787.57,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,1948.19,1947.93,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,3618.76,3617.97,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,2436.98,2435.41,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,3214.09,3213.54,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,3045.09,3043.15,ns,,,,,,0,9,8,2.84548e+06
"BM_run/9/iterations:10000",10000,3199.81,3198.02,ns,,,,,,0,4,9,2.38462e+06
"BM_run/10/iterations:10000",10000,3215.54,3214.59,ns,,,,,,0,9,10,2.10077e+06
"BM_run/20/iterations:10000",10000,3300.47,3298.57,ns,,,,,,0,9,20,970235
"BM_run/30/iterations:10000",10000,3444.35,3441.87,ns,,,,,,0,2,30,565345
"BM_run/40/iterations:10000",10000,3393.66,3390.31,ns,,,,,,0,4,40,405119
"BM_run/50/iterations:10000",10000,3467.67,3465.43,ns,,,,,,0,4,50,306863
"BM_run/60/iterations:10000",10000,3509.43,3506.74,ns,,,,,,0,6,60,255801
"BM_run/70/iterations:10000",10000,3411.25,3407.98,ns,,,,,,0,7,70,240016
"BM_run/80/iterations:10000",10000,3452.07,3448.86,ns,,,,,,0,8,80,212291
"BM_run/90/iterations:10000",10000,3486.69,3483.14,ns,,,,,,0,2,90,212683
"BM_run/100/iterations:10000",10000,3502.04,3497.81,ns,,,,,,0,5,100,183307
"BM_run/200/iterations:10000",10000,3603.15,3599.25,ns,,,,,,0,4,200,146169
"BM_run/300/iterations:10000",10000,3709.94,3705.82,ns,,,,,,0,5,300,117737
"BM_run/400/iterations:10000",10000,3724.15,3721.2,ns,,,,,,0,2,400,100659
"BM_run/500/iterations:10000",10000,3878.06,3875.17,ns,,,,,,0,2,500,87728
"BM_run/600/iterations:10000",10000,3893.98,3891.63,ns,,,,,,0,8,600,80408
"BM_run/700/iterations:10000",10000,3971.53,3966.58,ns,,,,,,0,5,700,72011
"BM_run/800/iterations:10000",10000,3974.52,3970.77,ns,,,,,,0,4,800,56997
"BM_run/900/iterations:10000",10000,3999.57,3995.03,ns,,,,,,0,4,900,53101
"BM_run/1000/iterations:10000",10000,4012.69,4007.77,ns,,,,,,0,5,1000,45501
"BM_run/2000/iterations:10000",10000,4320.95,4316.44,ns,,,,,,0,3,2000,22349
"BM_run/3000/iterations:10000",10000,4551.14,4546.03,ns,,,,,,0,3,3000,17078
"BM_run/4000/iterations:10000",10000,4655.31,4650.29,ns,,,,,,0,4,4000,16089
"BM_run/5000/iterations:10000",10000,5015.61,5010.84,ns,,,,,,0,5,5000,13966
"BM_run/6000/iterations:10000",10000,5075.78,5069.23,ns,,,,,,0,6,6000,12370
"BM_run/7000/iterations:10000",10000,5123.97,5118.73,ns,,,,,,0,4,7000,12011
