Data structure size: 91806157120 bits , construction time: 208190932079 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,3226.71,3231.92,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,2869.13,2872.97,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,5000.62,5002.97,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,3305.24,3306.27,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,5503.34,5502.41,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,3904.45,3905.16,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,5373.04,5372.38,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,5111.28,5111.18,ns,,,,,,0,7,8,2.84548e+06
"BM_run/9/iterations:10000",10000,5373.52,5371.37,ns,,,,,,0,8,9,2.38462e+06
"BM_run/10/iterations:10000",10000,5455.14,5452.67,ns,,,,,,0,5,10,2.10077e+06
"BM_run/20/iterations:10000",10000,5649.48,5646.81,ns,,,,,,0,9,20,970235
"BM_run/30/iterations:10000",10000,5996.32,5991.98,ns,,,,,,0,12,30,565345
"BM_run/40/iterations:10000",10000,5918.44,5915.06,ns,,,,,,0,9,40,405119
"BM_run/50/iterations:10000",10000,6157.75,6155.51,ns,,,,,,0,8,50,306863
"BM_run/60/iterations:10000",10000,6416.67,6411.71,ns,,,,,,0,4,60,255801
"BM_run/70/iterations:10000",10000,6349.97,6345,ns,,,,,,0,8,70,240016
"BM_run/80/iterations:10000",10000,6387.89,6382.91,ns,,,,,,0,4,80,212291
"BM_run/90/iterations:10000",10000,6565.6,6560.08,ns,,,,,,0,7,90,212683
"BM_run/100/iterations:10000",10000,6605.01,6600.75,ns,,,,,,0,3,100,183307
"BM_run/200/iterations:10000",10000,6977.76,6973.18,ns,,,,,,0,8,200,146169
"BM_run/300/iterations:10000",10000,7303.99,7299.47,ns,,,,,,0,8,300,117737
"BM_run/400/iterations:10000",10000,7554.15,7549.2,ns,,,,,,0,5,400,100659
"BM_run/500/iterations:10000",10000,7789.71,7784.03,ns,,,,,,0,4,500,87728
"BM_run/600/iterations:10000",10000,7935.45,7930.05,ns,,,,,,0,4,600,80408
"BM_run/700/iterations:10000",10000,8089.36,8083.18,ns,,,,,,0,4,700,72011
"BM_run/800/iterations:10000",10000,8085.88,8079.89,ns,,,,,,0,2,800,56997
"BM_run/900/iterations:10000",10000,8221.33,8214.81,ns,,,,,,0,7,900,53101
"BM_run/1000/iterations:10000",10000,8349.31,8343.48,ns,,,,,,0,7,1000,45501
