Data structure size: 53150427072 bits , construction time: 173296955474 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,382.634,383.085,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,574.121,571.647,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,3371.99,3366.13,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,718.825,711.824,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,1018.28,1010.62,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,1304.33,1297.01,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,1306.47,1299.47,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,1595.27,1588.15,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,1587.32,1580.78,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,1589.78,1582.36,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,1584.15,1577.14,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,1590.14,1583.58,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,1579.83,1572.54,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,1581.36,1574.57,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,1587.61,1580.63,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,1590.98,1583.92,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,1583.16,1576.34,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1581.34,1575.16,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,1600.67,1594.17,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,1583.23,1576.31,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,1587.34,1581.25,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,1605.93,1598.59,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,1591.68,1585.91,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1585.28,1579.33,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1589.62,1582.96,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1602.61,1595.52,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,1599.41,1592.47,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,1599.62,1593,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,1611.83,1604.65,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,1629.77,1621.72,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,1630.25,1622.34,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,1643.9,1635.9,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,1659.08,1651.05,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,1677.67,1668.51,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,1676.11,1667.58,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,1690.39,1682.05,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,1709.68,1701.29,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,1796.87,1788.52,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1912.18,1906.06,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,2066.08,2060.94,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,2266.13,2261.32,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,2412.95,2407.87,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,2549.95,2545.52,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,2690.96,2684.84,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,2817.01,2809.99,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,2952.93,2945.74,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,4339.9,4329.81,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,5961.07,5947.71,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,7779.4,7756.9,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,9612.18,9586.54,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,11578.5,11543.7,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,13608.4,13565.7,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,15601.9,15550.3,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,17665,17601.6,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,19778.4,19707.4,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,50303.2,50159.4,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,84202.9,83967.1,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,119459,119124,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,156121,155681,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,193535,193000,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,231640,231024,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,269326,268596,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,308518,307683,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,347382,346461,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,742196,740179,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.14787e+06,1.14474e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.52885e+06,1.52522e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.92064e+06,1.91623e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.31028e+06,2.30498e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.70243e+06,2.69641e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.09077e+06,3.08415e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.48348e+06,3.47597e+06,ns,,,,,,0,0,9e+07,10000
