Data structure size: 53150631872 bits , construction time: 50985929243 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,332.932,332.913,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,510.809,508.714,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,3220.43,3214.59,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,652.053,645.93,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,724.316,717.943,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,731.978,725.705,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,735.314,729.15,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,760.05,753.428,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,764.455,758.128,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,764.944,758.285,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,762.445,756.797,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,756.759,750.463,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,759.252,753.079,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,765.454,758.966,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,762.055,756.27,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,757.698,751.831,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,761.867,755.616,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,762.007,755.427,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,756.977,750.806,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,771.723,765.929,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,765.037,759.219,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,770.35,764.085,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,762.707,756.138,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,771.146,764.969,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,761.342,754.578,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,761.252,755.183,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,769.229,762.892,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,767.495,760.794,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,777.412,770.851,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,798.254,791.431,ns,,,,,,0,0,3000,10000
