Data structure size: 53151041472 bits , construction time: 68318480724 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,310.561,311.31,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,514.243,512.044,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,3150.94,3145.24,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,671.604,665.495,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,749.642,744.486,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,842.049,836.619,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,837.185,831.781,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,895.318,889.079,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,892.837,886.501,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,882.817,876.823,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,879.7,873.479,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,889.087,882.962,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,885.564,879.396,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,883.892,878.159,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,883.71,877.787,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,884.296,878.068,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,885.257,878.917,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,888.144,882.034,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,884.209,878.417,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,887.412,880.887,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,887.294,881.154,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,891.501,885.173,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,892.537,886.349,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,894.949,888.532,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,887.533,881.808,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,899.255,893.708,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,896.481,890.703,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,902.539,896.833,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,907.681,901.071,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,914.929,907.592,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,925.639,918.324,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,942.382,935.306,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,944.778,938.212,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,954.291,946.208,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,950.848,943.388,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,964.352,956.567,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,978.794,972.037,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,1055.22,1046.91,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1152.64,1146.88,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,1284.2,1279.49,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,1456.2,1452.24,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,1568.2,1565.94,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,1676.81,1673.41,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,1788.91,1785.27,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,1900.06,1894.8,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,2006.93,2002.52,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,3194.49,3184.98,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,4645.7,4630.81,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,6329.36,6307.46,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,8131.21,8103.76,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,10010.3,9975.35,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,11913.9,11870.7,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,13817.4,13764.2,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,15736.5,15675.7,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,17731.6,17666.4,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,48533.9,48408.8,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,82312.2,82086.5,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,117013,116680,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,153300,152896,ns,,,,,,0,0,5e+06,10000
