Data structure size: 53234108160 bits , construction time: 19270566677 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,343.849,344.779,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,507.713,505.908,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,3203.76,3198.02,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,651.826,645.459,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,720.38,714.345,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,750.758,745.3,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,755.232,750.046,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,806.294,800.638,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,811.165,805.739,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,805.706,799.737,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,807.617,801.833,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,799.714,793.988,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,800.96,795.197,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,796.643,790.972,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,809.528,803.998,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,809.593,803.652,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,804.338,798.01,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,806.825,801.523,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,804.741,798.917,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,815.47,809.587,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,800.366,794.353,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,802.344,797.117,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,808.984,803.07,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,813.1,807.273,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,804.022,798.668,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,800.952,795.192,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,815.203,809.107,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,817.486,811.081,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,825.355,818.62,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,837.155,830.365,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,840.782,832.795,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,861.82,853.885,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,869.159,862.151,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,866.78,859.111,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,885.785,878.059,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,899.179,891.528,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,907.846,900.905,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,999.571,991.069,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1120.08,1113.23,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,1266.41,1261.14,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,1482.41,1479.06,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,1614.05,1610.72,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,1736.55,1732.64,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,1877.57,1872.41,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,2011.17,2006.15,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,2150.71,2145.78,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,3533.77,3524.82,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,5140.15,5124.53,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,6967.39,6946.81,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,8873.1,8846.29,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,10885.9,10855,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,12902.6,12861.3,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,14963.2,14911.8,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,17010.5,16945.2,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,19097.6,19022.3,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,49800.5,49663.4,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,83700.1,83467.8,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,118896,118566,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,155652,155229,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,193066,192559,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,231177,230582,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,269120,268474,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,308313,307593,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,347398,346571,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,743482,741836,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.15042e+06,1.1478e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.5331e+06,1.53007e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.92252e+06,1.91888e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.31491e+06,2.31042e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.71071e+06,2.70561e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.10253e+06,3.09688e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.49605e+06,3.48997e+06,ns,,,,,,0,0,9e+07,10000
