Data structure size: 53150427072 bits , construction time: 172883634195 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,394.538,395.166,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,577.522,575.771,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,3369.29,3364.02,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,727.453,720.651,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,1027.53,1020.44,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,1312.15,1305.11,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,1318.67,1311.01,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,1596.72,1590.71,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,1601.41,1595.6,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,1605.61,1598.83,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,1593.45,1587.16,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,1590.27,1583.86,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,1591.11,1584.58,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,1609.83,1603.95,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,1589.35,1582.61,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,1593.36,1586.96,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,1591.01,1584.9,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1598.96,1593.23,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,1591.64,1584.45,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,1592.04,1585.19,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,1598.05,1592.7,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,1593.49,1587.01,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,1592.59,1585.97,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1592.85,1586.19,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1602.66,1596.38,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1592.51,1586.2,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,1590.48,1583.48,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,1593.21,1587.04,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,1607.27,1600.45,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,1595.43,1587.44,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,1600.22,1592.83,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,1598.53,1591.12,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,1600.3,1591.76,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,1604.16,1596.04,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,1605.03,1596.57,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,1623.82,1614.78,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,1605.37,1597.5,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,1623.5,1613.2,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1631.42,1620.47,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,1635.13,1623.26,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,1629.09,1616.68,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,1643.3,1629.83,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,1641.8,1628.45,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,1651.57,1638.2,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,1645.59,1631.82,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,1650.59,1636.01,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,1672.38,1654.58,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,1689.92,1670.73,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,1709.64,1685.62,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,1727.43,1699.86,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,1756.89,1727.82,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,1787.42,1752.45,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,1827.38,1791.67,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,1862.42,1821.71,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,1903.49,1854.39,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,2199.25,2090.72,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,2272.26,2142.9,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,2375.63,2234.16,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,2491.48,2337.99,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,2574.01,2392.31,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,2582.66,2381.74,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,2696,2499.03,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,2726.09,2524.82,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,2747.22,2550.52,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,3089.52,2819.89,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,3420.23,3011.5,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,3604.94,3085.3,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,3680.65,3108.07,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,3769.29,3158.49,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,3697.12,3188.53,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3706.51,3163.8,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3873.46,3239.48,ns,,,,,,0,0,9e+07,10000
