Data structure size: 53150431680 bits , construction time: 17740236962 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,297.129,298.413,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,521.747,519.968,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,3235.76,3230.4,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,662.97,656.602,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,915.596,909.14,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,1152.1,1145.64,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,1145.18,1139.36,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,1201.18,1194.19,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,1198.34,1192.77,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,1192.46,1186.92,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,1183.69,1177.96,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,1186.54,1181.12,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,1172.75,1167.78,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,1180.05,1175.17,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,1181.73,1176.76,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,1193.73,1188.42,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,1172.6,1167.33,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,1190.05,1184.45,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,1191.98,1186.81,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,1185.91,1180.7,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,1173.06,1167.83,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,1187.7,1182.5,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,1186.54,1181.28,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1190.48,1184.2,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1185.65,1180.41,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1192.38,1186.58,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,1184.54,1178.42,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,1187.32,1181.84,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,1181.88,1175.65,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,1183.41,1177.13,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,1208.83,1201.79,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,1191.98,1185.2,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,1210.05,1202.54,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,1199.09,1192.36,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,1194.12,1186.22,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,1189.7,1182.12,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,1206.86,1199.43,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,1209.49,1200.64,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1225.15,1215.18,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,1212.73,1201.79,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,1236.82,1225.7,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,1232.64,1219.95,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,1244.54,1232.75,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,1243.06,1228.96,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,1242.9,1229.89,ns,,,,,,0,0,90000,10000
