Data structure size: 53151451456 bits , construction time: 68236908626 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,4475.13,4481.02,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,3141.52,3142.94,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,7495.86,7493.82,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,3335.09,3332.47,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,4838.59,4835.37,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,5308.6,5305.16,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,5321.97,5317.61,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,5411.87,5407.99,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,5348.88,5344.19,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,5427.92,5423.57,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,5464.52,5460.43,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,5495.04,5490.04,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,5436.05,5431.47,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,5540.97,5536.3,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,5586.59,5580.85,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,5482.87,5478.88,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,5567.84,5563.25,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,5586.27,5581.47,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,5659.18,5653.27,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,5623.8,5618.74,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,5635.5,5630.54,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,5657.88,5653.57,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,5799.68,5794.22,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,5739.7,5734.67,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,5785.72,5780.25,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,5757.84,5752.9,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,5891.24,5885.8,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,5880.73,5874.57,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,6013.71,6007.31,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,6161.47,6154.86,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,6327.96,6320.63,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,6323.48,6316.83,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,6616.32,6608.38,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,6706.47,6699.43,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,6897.81,6891.28,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,6973.58,6966.89,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,7122.18,7114.18,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,8624.94,8617.3,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,10121.6,10112.3,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,11594.6,11583.8,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,12999.5,12986.5,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,14504.5,14490.3,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,15840.8,15825.5,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,17345,17326,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,18805.1,18783.2,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,20210.8,20187.2,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,34587.4,34549.6,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,49086,49029.9,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,63603.7,63530.7,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,78189.4,78098.4,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,92934.5,92820.2,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,107589,107451,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,122200,122033,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,136868,136673,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,151352,151144,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,298703,298189,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,446039,445272,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,593631,592606,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,741107,739860,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,888593,887053,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,1.03598e+06,1.03417e+06,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,1.18312e+06,1.18103e+06,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,1.32885e+06,1.3265e+06,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,1.47599e+06,1.47341e+06,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,2.95034e+06,2.94506e+06,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,4.42612e+06,4.41807e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,5.89393e+06,5.88451e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,7.36051e+06,7.34974e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,8.83114e+06,8.81862e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,1.03003e+07,1.02864e+07,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,1.1769e+07,1.17536e+07,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,1.32406e+07,1.32236e+07,ns,,,,,,0,0,9e+07,10000
