Data structure size: 13421773248 bits , construction time: 4651971675 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,5.94527e+06,5.9421e+06,ns,,,,,,0,0,1,3.38252e+10
"BM_run/2/iterations:10000",10000,99749.2,99694.2,ns,,,,,,0,0,2,5.45589e+08
"BM_run/3/iterations:10000",10000,4445.95,4444.3,ns,,,,,,0,0,3,8.81383e+06
"BM_run/4/iterations:10000",10000,2051.98,2050.37,ns,,,,,,0,0,4,151128
"BM_run/5/iterations:10000",10000,1847.01,1845.36,ns,,,,,,0,0,5,12286
"BM_run/6/iterations:10000",10000,1892.2,1890.78,ns,,,,,,0,0,6,10036
"BM_run/7/iterations:10000",10000,1912.88,1910.79,ns,,,,,,0,0,7,10000
"BM_run/8/iterations:10000",10000,1913.88,1912.24,ns,,,,,,0,0,8,10000
"BM_run/9/iterations:10000",10000,1897.55,1896.34,ns,,,,,,0,0,9,10000
"BM_run/10/iterations:10000",10000,1893.14,1891.96,ns,,,,,,0,0,10,10000
"BM_run/20/iterations:10000",10000,1907.58,1905.46,ns,,,,,,0,0,20,10000
"BM_run/30/iterations:10000",10000,1975.42,1973.51,ns,,,,,,0,0,30,10000
"BM_run/40/iterations:10000",10000,2044.09,2042.4,ns,,,,,,0,0,40,10000
"BM_run/50/iterations:10000",10000,2018.44,2016.41,ns,,,,,,0,0,50,10000
"BM_run/60/iterations:10000",10000,2048.56,2046.61,ns,,,,,,0,0,60,10000
"BM_run/70/iterations:10000",10000,2069.11,2066.73,ns,,,,,,0,0,70,10000
"BM_run/80/iterations:10000",10000,2049.21,2047.6,ns,,,,,,0,0,80,10000
"BM_run/90/iterations:10000",10000,2032.45,2030.65,ns,,,,,,0,0,90,10000
"BM_run/100/iterations:10000",10000,2051.45,2049.57,ns,,,,,,0,0,100,10000
"BM_run/200/iterations:10000",10000,2070.3,2069.02,ns,,,,,,0,0,200,10000
"BM_run/300/iterations:10000",10000,2097.21,2094.67,ns,,,,,,0,0,300,10000
"BM_run/400/iterations:10000",10000,2158.71,2156.87,ns,,,,,,0,0,400,10000
"BM_run/500/iterations:10000",10000,2266.9,2264.28,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,2262.08,2260.7,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,2340.71,2340.01,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,2370.07,2366.87,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,2387.84,2385.88,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,2430.22,2427.75,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,2833.95,2830.41,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,3229.81,3225.96,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,3675.69,3670.62,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,4108.9,4103.74,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,4492.4,4485.51,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,4938.65,4931.31,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,5285.18,5278.29,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,5737.95,5730.14,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,6187.04,6178.46,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,10323.8,10310.3,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,14412.2,14397.7,ns,,,,,,0,0,30000,10000
