Data structure size: 40265319552 bits , construction time: 10388523346 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,429.212,428.212,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,1835.76,1834.04,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,3478.47,3474.52,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,4581.59,4576.65,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,5349.01,5342.86,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,5848.56,5842.12,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,6156.9,6150.77,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,6385.06,6377.16,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,6557.51,6551.06,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,6661.64,6654.81,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,6998.91,6991.35,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,7057.47,7049.12,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,7118.32,7109.79,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,7145.79,7138.73,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,7198.12,7190.38,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,7170.26,7161.76,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,7145.01,7136.59,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,7173.93,7164.81,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,7150.56,7143.23,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,7192.6,7185.55,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,7188.54,7182.01,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,7170.12,7162.58,ns,,,,,,0,0,400,447566
"BM_run/500/iterations:10000",10000,7258.5,7250.46,ns,,,,,,0,0,500,447545
"BM_run/600/iterations:10000",10000,7233.84,7227.1,ns,,,,,,0,0,600,388321
"BM_run/700/iterations:10000",10000,7190.89,7182.39,ns,,,,,,0,0,700,375618
"BM_run/800/iterations:10000",10000,7294.53,7286.64,ns,,,,,,0,0,800,290701
"BM_run/900/iterations:10000",10000,7296.48,7288.12,ns,,,,,,0,0,900,255278
"BM_run/1000/iterations:10000",10000,7257.9,7249.08,ns,,,,,,0,0,1000,252013
"BM_run/2000/iterations:10000",10000,7346.56,7338.98,ns,,,,,,0,0,2000,30521
"BM_run/3000/iterations:10000",10000,7278.79,7271.18,ns,,,,,,0,0,3000,48955
"BM_run/4000/iterations:10000",10000,7333.63,7326.22,ns,,,,,,0,0,4000,36404
"BM_run/5000/iterations:10000",10000,7357.03,7349.03,ns,,,,,,0,0,5000,26517
"BM_run/6000/iterations:10000",10000,7385.85,7376.82,ns,,,,,,0,0,6000,27413
"BM_run/7000/iterations:10000",10000,7370.95,7363.74,ns,,,,,,0,0,7000,29470
"BM_run/8000/iterations:10000",10000,7424.93,7416.59,ns,,,,,,0,0,8000,25982
"BM_run/9000/iterations:10000",10000,7427.98,7418.08,ns,,,,,,0,0,9000,36058
"BM_run/10000/iterations:10000",10000,7460.48,7451.65,ns,,,,,,0,0,10000,35401
"BM_run/20000/iterations:10000",10000,7807.18,7798.65,ns,,,,,,0,0,20000,27279
"BM_run/30000/iterations:10000",10000,8090.79,8081.48,ns,,,,,,0,0,30000,15335
"BM_run/40000/iterations:10000",10000,8159.12,8150.65,ns,,,,,,0,0,40000,10685
"BM_run/50000/iterations:10000",10000,8373.53,8364.63,ns,,,,,,0,0,50000,14084
"BM_run/60000/iterations:10000",10000,8563.45,8555.18,ns,,,,,,0,0,60000,12024
"BM_run/70000/iterations:10000",10000,8714.02,8704.15,ns,,,,,,0,0,70000,10022
"BM_run/80000/iterations:10000",10000,8983.51,8973.28,ns,,,,,,0,0,80000,10645
"BM_run/90000/iterations:10000",10000,9152.89,9140.07,ns,,,,,,0,0,90000,10028
"BM_run/100000/iterations:10000",10000,9334.28,9324.25,ns,,,,,,0,0,100000,10016
"BM_run/200000/iterations:10000",10000,11463.3,11444.6,ns,,,,,,0,0,200000,10005
"BM_run/300000/iterations:10000",10000,13752.2,13728.6,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,16264.2,16229,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,18877.7,18836.2,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,21533,21476.9,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,23883.2,23824.8,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,26350.4,26279.6,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,29050.1,28977.2,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,31773.6,31687,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,65573,65409.1,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,99929.3,99680.3,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,135290,134950,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,171961,171523,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,209138,208600,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,247258,246620,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,284930,284197,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,321998,321174,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,359870,358945,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,751761,749925,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.15303e+06,1.15013e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.52657e+06,1.52315e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.91098e+06,1.90686e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.29546e+06,2.29039e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.68613e+06,2.6805e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.07023e+06,3.06396e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.45699e+06,3.45021e+06,ns,,,,,,0,0,9e+07,10000
