Data structure size: 91805132736 bits , construction time: 528087022804 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,571.299,571.861,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,455.031,452.767,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,2068.66,2062.13,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,719.312,710.985,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,1510.91,1502.7,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,1361.52,1352.03,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,1762.39,1752.1,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,933.622,923.012,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,1276.94,1266.69,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,1385.59,1375.22,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,1697.99,1687.62,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,1956.98,1947.91,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,2035.33,2025.93,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,2119.07,2109.85,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,2182.24,2172.74,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,2320.27,2310.73,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,2355.74,2346.76,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,2387.57,2378.64,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,2414.39,2404.1,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,2700.5,2690.94,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,2981.42,2971.17,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,3014.89,3004.97,ns,,,,,,0,0,400,447566
"BM_run/500/iterations:10000",10000,3027.83,3018.92,ns,,,,,,0,0,500,447545
"BM_run/600/iterations:10000",10000,3327.97,3317.35,ns,,,,,,0,0,600,388321
"BM_run/700/iterations:10000",10000,3332.33,3322.18,ns,,,,,,0,0,700,375618
"BM_run/800/iterations:10000",10000,3336.73,3327.11,ns,,,,,,0,0,800,290701
"BM_run/900/iterations:10000",10000,3341.24,3332.39,ns,,,,,,0,0,900,255278
"BM_run/1000/iterations:10000",10000,3379.18,3369.83,ns,,,,,,0,0,1000,252013
"BM_run/2000/iterations:10000",10000,3725,3714.33,ns,,,,,,0,0,2000,30521
"BM_run/3000/iterations:10000",10000,4131.88,4120.98,ns,,,,,,0,0,3000,48955
"BM_run/4000/iterations:10000",10000,4150.47,4139.98,ns,,,,,,0,0,4000,36404
"BM_run/5000/iterations:10000",10000,4652.99,4642.77,ns,,,,,,0,0,5000,26517
"BM_run/6000/iterations:10000",10000,4658.95,4648.36,ns,,,,,,0,0,6000,27413
"BM_run/7000/iterations:10000",10000,4688.67,4676.83,ns,,,,,,0,0,7000,29470
"BM_run/8000/iterations:10000",10000,4689.53,4679.29,ns,,,,,,0,0,8000,25982
