Data structure size: 91805235520 bits , construction time: 524223288852 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,9985.86,9986.71,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,8330.14,8325.94,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,15014.1,15003.9,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,9019.72,9012.58,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,14296.2,14284.6,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,11334.6,11324.8,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,15190,15177.4,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,10106.5,10096.3,ns,,,,,,0,0,8,2.70781e+08
"BM_run/9/iterations:10000",10000,13137.8,13123.8,ns,,,,,,0,0,9,2.34843e+08
"BM_run/10/iterations:10000",10000,12590,12577.7,ns,,,,,,0,0,10,1.98176e+08
"BM_run/20/iterations:10000",10000,14027,14012.4,ns,,,,,,0,0,20,4.59412e+07
"BM_run/30/iterations:10000",10000,15475.6,15460.4,ns,,,,,,0,0,30,1.97348e+07
"BM_run/40/iterations:10000",10000,14998.3,14983.2,ns,,,,,,0,0,40,1.02213e+07
"BM_run/50/iterations:10000",10000,15346.8,15332.6,ns,,,,,,0,0,50,5.004e+06
"BM_run/60/iterations:10000",10000,15676.9,15660.4,ns,,,,,,0,0,60,2.16217e+06
"BM_run/70/iterations:10000",10000,15433.9,15418.2,ns,,,,,,0,0,70,1.08016e+06
"BM_run/80/iterations:10000",10000,15552.8,15538.9,ns,,,,,,0,0,80,635144
"BM_run/90/iterations:10000",10000,15752,15736.4,ns,,,,,,0,0,90,624074
"BM_run/100/iterations:10000",10000,15830.7,15816.4,ns,,,,,,0,0,100,599544
"BM_run/200/iterations:10000",10000,16113,16098.2,ns,,,,,,0,0,200,554807
"BM_run/300/iterations:10000",10000,16401.8,16387.1,ns,,,,,,0,0,300,491746
"BM_run/400/iterations:10000",10000,16468.4,16453.2,ns,,,,,,0,0,400,447566
"BM_run/500/iterations:10000",10000,16614.6,16597.8,ns,,,,,,0,0,500,447545
"BM_run/600/iterations:10000",10000,16745.4,16727.5,ns,,,,,,0,0,600,388321
"BM_run/700/iterations:10000",10000,16800.6,16783.9,ns,,,,,,0,0,700,375618
"BM_run/800/iterations:10000",10000,16793.6,16777.3,ns,,,,,,0,0,800,290701
"BM_run/900/iterations:10000",10000,16939.8,16923.3,ns,,,,,,0,0,900,255278
"BM_run/1000/iterations:10000",10000,17026.2,17008.8,ns,,,,,,0,0,1000,252013
"BM_run/2000/iterations:10000",10000,17464.6,17446.8,ns,,,,,,0,0,2000,30521
"BM_run/3000/iterations:10000",10000,18082.2,18064.2,ns,,,,,,0,0,3000,48955
"BM_run/4000/iterations:10000",10000,18289.1,18271.5,ns,,,,,,0,0,4000,36404
"BM_run/5000/iterations:10000",10000,18862,18843.6,ns,,,,,,0,0,5000,26517
"BM_run/6000/iterations:10000",10000,18842,18823.9,ns,,,,,,0,0,6000,27413
"BM_run/7000/iterations:10000",10000,18968.4,18949.1,ns,,,,,,0,0,7000,29470
