Data structure size: 91805542720 bits , construction time: 121397643505 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,2155.09,2160.44,ns,,,,,,0,0,1,8.51606e+10
"BM_run/2/iterations:10000",10000,1479.41,1477.76,ns,,,,,,0,0,2,9.38829e+09
"BM_run/3/iterations:10000",10000,4059.67,4057.61,ns,,,,,,0,0,3,3.34552e+09
"BM_run/4/iterations:10000",10000,1958.55,1955.27,ns,,,,,,0,0,4,1.74939e+09
"BM_run/5/iterations:10000",10000,3441.84,3438.8,ns,,,,,,0,0,5,1.03261e+09
"BM_run/6/iterations:10000",10000,2634,2627.88,ns,,,,,,0,0,6,6.07813e+08
"BM_run/7/iterations:10000",10000,3519.89,3515.69,ns,,,,,,0,0,7,3.95069e+08
"BM_run/8/iterations:10000",10000,2251.34,2246.25,ns,,,,,,0,7,8,2.70781e+08
"BM_run/9/iterations:10000",10000,2921.26,2916.4,ns,,,,,,0,9,9,2.34843e+08
"BM_run/10/iterations:10000",10000,2778.73,2772.63,ns,,,,,,0,8,10,1.98176e+08
"BM_run/20/iterations:10000",10000,3190.42,3183.6,ns,,,,,,0,4,20,4.59412e+07
"BM_run/30/iterations:10000",10000,3497.5,3490.41,ns,,,,,,0,17,30,1.97348e+07
"BM_run/40/iterations:10000",10000,3389.93,3383.27,ns,,,,,,0,5,40,1.02213e+07
"BM_run/50/iterations:10000",10000,3491.56,3484.48,ns,,,,,,0,9,50,5.004e+06
"BM_run/60/iterations:10000",10000,3542.97,3535.72,ns,,,,,,0,14,60,2.16217e+06
"BM_run/70/iterations:10000",10000,3488.51,3482.17,ns,,,,,,0,7,70,1.08016e+06
"BM_run/80/iterations:10000",10000,3508.57,3502.05,ns,,,,,,0,8,80,635144
"BM_run/90/iterations:10000",10000,3597.51,3589.34,ns,,,,,,0,6,90,624074
"BM_run/100/iterations:10000",10000,3571.57,3564.36,ns,,,,,,0,7,100,599544
"BM_run/200/iterations:10000",10000,3675.97,3667.3,ns,,,,,,0,13,200,554807
"BM_run/300/iterations:10000",10000,3829.17,3821.26,ns,,,,,,0,5,300,491746
"BM_run/400/iterations:10000",10000,3852.77,3846.19,ns,,,,,,0,8,400,447566
"BM_run/500/iterations:10000",10000,3881.19,3873.69,ns,,,,,,0,9,500,447545
"BM_run/600/iterations:10000",10000,3984.28,3977.58,ns,,,,,,0,13,600,388321
"BM_run/700/iterations:10000",10000,3978.41,3971.17,ns,,,,,,0,11,700,375618
"BM_run/800/iterations:10000",10000,4017.19,4010.91,ns,,,,,,0,13,800,290701
"BM_run/900/iterations:10000",10000,4024.22,4017.63,ns,,,,,,0,6,900,255278
"BM_run/1000/iterations:10000",10000,4064.91,4058.19,ns,,,,,,0,8,1000,252013
"BM_run/2000/iterations:10000",10000,4321.93,4314.46,ns,,,,,,0,9,2000,30521
"BM_run/3000/iterations:10000",10000,4602.17,4593.87,ns,,,,,,0,8,3000,48955
"BM_run/4000/iterations:10000",10000,4717.59,4712.18,ns,,,,,,0,11,4000,36404
"BM_run/5000/iterations:10000",10000,5056.99,5048.58,ns,,,,,,0,7,5000,26517
"BM_run/6000/iterations:10000",10000,5128.75,5122.02,ns,,,,,,0,8,6000,27413
"BM_run/7000/iterations:10000",10000,5109.84,5101.96,ns,,,,,,0,9,7000,29470
"BM_run/8000/iterations:10000",10000,5191.45,5183.91,ns,,,,,,0,15,8000,25982
"BM_run/9000/iterations:10000",10000,5607.15,5600.27,ns,,,,,,0,8,9000,36058
"BM_run/10000/iterations:10000",10000,5680.91,5673.47,ns,,,,,,0,6,10000,35401
"BM_run/20000/iterations:10000",10000,6109.73,6102.12,ns,,,,,,0,8,20000,27279
"BM_run/30000/iterations:10000",10000,6619.36,6611.74,ns,,,,,,0,10,30000,15335
"BM_run/40000/iterations:10000",10000,6755.25,6747.51,ns,,,,,,0,4,40000,10685
"BM_run/50000/iterations:10000",10000,6814.93,6806.55,ns,,,,,,0,9,50000,14084
"BM_run/60000/iterations:10000",10000,7325.28,7318.28,ns,,,,,,0,6,60000,12024
"BM_run/70000/iterations:10000",10000,7449.62,7440.19,ns,,,,,,0,9,70000,10022
"BM_run/80000/iterations:10000",10000,7980.09,7970.64,ns,,,,,,0,6,80000,10645
"BM_run/90000/iterations:10000",10000,8117.31,8109.78,ns,,,,,,0,9,90000,10028
"BM_run/100000/iterations:10000",10000,8197.98,8188.62,ns,,,,,,0,4,100000,10016
