Data structure size: 2866628736 bits , construction time: 466942826 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4559875,152.538,153.53,ns,,,,,,0,0,2,2.60045e+13
"BM_run/2",4546443,152.926,153.84,ns,,,,,,0,0,3,2.59279e+13
"BM_run/3",4419883,157.306,158.279,ns,,,,,,0,0,5,1.55782e+13
"BM_run/4",4348506,159.985,160.936,ns,,,,,,0,0,8,9.47239e+12
"BM_run/5",4221103,164.728,165.656,ns,,,,,,0,0,13,5.68274e+12
"BM_run/6",4160114,167.2,168.138,ns,,,,,,0,0,21,3.46138e+12
"BM_run/7",4020153,173.352,174.273,ns,,,,,,0,0,34,2.06728e+12
"BM_run/8",3958203,175.885,176.749,ns,,,,,,0,0,55,1.25796e+12
"BM_run/9",3815862,183.028,183.747,ns,,,,,,0,0,89,7.495e+11
"BM_run/10",3728658,186.927,187.69,ns,,,,,,0,0,144,4.52633e+11
"BM_run/11",3594112,193.95,194.601,ns,,,,,,0,0,233,2.69645e+11
"BM_run/12",3495955,199.62,200.474,ns,,,,,,0,0,377,1.621e+11
"BM_run/13",3340683,209.034,209.685,ns,,,,,,0,0,610,9.57306e+10
"BM_run/14",3277279,212.666,213.455,ns,,,,,,0,0,987,5.80439e+10
"BM_run/15",3063498,227.606,228.455,ns,,,,,,0,0,1597,3.353e+10
"BM_run/16",2962534,235.319,236.212,ns,,,,,,0,0,2584,2.00415e+10
"BM_run/17",2677428,260.536,261.371,ns,,,,,,0,0,4181,1.11916e+10
"BM_run/18",2447466,285.355,286.216,ns,,,,,,0,0,6765,6.32425e+09
"BM_run/19",2067060,337.589,338.469,ns,,,,,,0,0,10946,3.29903e+09
"BM_run/20",1659960,421.254,421.582,ns,,,,,,0,0,17711,1.63838e+09
"BM_run/21",1078728,648.308,649.007,ns,,,,,,0,0,28657,6.56945e+08
"BM_run/22",797612,876.77,877.598,ns,,,,,,0,0,46368,3.007e+08
"BM_run/23",522770,1338.47,1339.09,ns,,,,,,0,0,75025,1.21283e+08
"BM_run/24",347540,2015.85,2015.78,ns,,,,,,0,0,121393,5.00458e+07
"BM_run/25",226127,3091.87,3091.42,ns,,,,,,0,0,196418,1.98992e+07
"BM_run/26",139925,5003.6,5001.34,ns,,,,,,0,0,317811,7.69588e+06
"BM_run/27",84741,8265.14,8260.39,ns,,,,,,0,0,514229,2.79645e+06
"BM_run/28",52056,13470.5,13465.5,ns,,,,,,0,0,832040,1.09318e+06
"BM_run/29",25882,27081.2,27058.9,ns,,,,,,0,0,1.34627e+06,310584
"BM_run/30",15550,45152.9,45114,ns,,,,,,0,0,2.17831e+06,124400
"BM_run/31",9394,74555.4,74489.6,ns,,,,,,0,0,3.52458e+06,37576
"BM_run/32",5668,123488,123367,ns,,,,,,0,0,5.70289e+06,17004
"BM_run/33",3231,214944,214608,ns,,,,,,0,0,9.22746e+06,3231
