Data structure size: 9309109664 bits , construction time: 10727381961 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4117202,168.93,169.927,ns,,,,,,0,0,2,2.34799e+13
"BM_run/2",4118955,169.071,170.015,ns,,,,,,0,0,3,2.34899e+13
"BM_run/3",4406703,157.748,158.709,ns,,,,,,0,0,5,1.55318e+13
"BM_run/4",4402649,157.884,158.896,ns,,,,,,0,0,8,9.59033e+12
"BM_run/5",3910124,178.188,179.151,ns,,,,,,0,0,13,5.26407e+12
"BM_run/6",4281531,162.793,163.748,ns,,,,,,0,0,21,3.56241e+12
"BM_run/7",4083926,170.561,171.388,ns,,,,,,0,0,34,2.10007e+12
"BM_run/8",4032673,172.723,173.629,ns,,,,,,0,0,55,1.28163e+12
"BM_run/9",4134057,168.216,169.382,ns,,,,,,0,0,89,8.11999e+11
"BM_run/10",3956333,175.958,177.06,ns,,,,,,0,0,144,4.80271e+11
"BM_run/11",3748254,185.856,187.046,ns,,,,,,0,0,233,2.81209e+11
"BM_run/12",3709182,187.978,188.893,ns,,,,,,0,0,377,1.71987e+11
"BM_run/13",3170053,219.909,221.071,ns,,,,,,0,0,610,9.0841e+10
"BM_run/14",2929543,237.87,238.993,ns,,,,,,0,0,987,5.18851e+10
"BM_run/15",2863244,243.442,244.417,ns,,,,,,0,0,1597,3.13382e+10
"BM_run/16",2226601,313.752,314.368,ns,,,,,,0,0,2584,1.5063e+10
"BM_run/17",1669525,418.202,419.281,ns,,,,,,0,0,4181,6.97861e+09
"BM_run/18",1038988,673.407,673.676,ns,,,,,,0,0,6765,2.68474e+09
"BM_run/19",668523,1045.43,1046.84,ns,,,,,,0,0,10946,1.06696e+09
"BM_run/20",843545,827.48,829.837,ns,,,,,,0,0,17711,8.32579e+08
"BM_run/21",445340,1567.83,1571.69,ns,,,,,,0,0,28657,2.71212e+08
"BM_run/22",334361,2091.22,2093.41,ns,,,,,,0,0,46368,1.26054e+08
"BM_run/23",215262,3250.27,3251.54,ns,,,,,,0,0,75025,4.99408e+07
"BM_run/24",135522,5165.77,5164.59,ns,,,,,,0,0,121393,1.95152e+07
"BM_run/25",81286,8616.25,8612.8,ns,,,,,,0,0,196418,7.15317e+06
"BM_run/26",51759,13528.7,13523.5,ns,,,,,,0,0,317811,2.84674e+06
"BM_run/27",31312,22366.2,22354.1,ns,,,,,,0,0,514229,1.0333e+06
"BM_run/28",18837,37171.5,37172.1,ns,,,,,,0,0,832040,395577
"BM_run/29",10857,64554.6,64499.3,ns,,,,,,0,0,1.34627e+06,130284
"BM_run/30",6654,105277,105197,ns,,,,,,0,0,2.17831e+06,53232
"BM_run/31",4105,170757,170608,ns,,,,,,0,0,3.52458e+06,16420
"BM_run/32",2495,280945,280660,ns,,,,,,0,0,5.70289e+06,7485
"BM_run/33",1387,504188,503207,ns,,,,,,0,0,9.22746e+06,1387
