Data structure size: 9315052416 bits , construction time: 1386755166731 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",4157351,167.585,168.543,ns,,,,,,0,0,2,2.37089e+13
"BM_run/2",4152780,167.581,168.585,ns,,,,,,0,0,3,2.36828e+13
"BM_run/3",4372678,160.539,161.16,ns,,,,,,0,0,5,1.54118e+13
"BM_run/4",4345213,161.308,162.236,ns,,,,,,0,0,8,9.46522e+12
"BM_run/5",3950565,175.878,177.116,ns,,,,,,0,0,13,5.31852e+12
"BM_run/6",4084853,171.279,172.401,ns,,,,,,0,0,21,3.39876e+12
"BM_run/7",3953196,175.823,177.105,ns,,,,,,0,0,34,2.03284e+12
"BM_run/8",3889874,178.959,180.02,ns,,,,,,0,0,55,1.23624e+12
"BM_run/9",4026403,172.686,173.797,ns,,,,,,0,0,89,7.90854e+11
"BM_run/10",3845596,180.857,182.068,ns,,,,,,0,0,144,4.66828e+11
"BM_run/11",3622741,192.336,193.381,ns,,,,,,0,0,233,2.71793e+11
"BM_run/12",3607312,193.673,194.736,ns,,,,,,0,0,377,1.67264e+11
"BM_run/13",3490847,200.592,200.849,ns,,,,,,0,0,610,1.00034e+11
"BM_run/14",3115277,223.94,224.828,ns,,,,,,0,0,987,5.51747e+10
"BM_run/15",3037023,229.503,230.468,ns,,,,,,0,0,1597,3.32402e+10
"BM_run/16",2675413,261.155,261.776,ns,,,,,,0,0,2584,1.80992e+10
"BM_run/17",2198120,316.508,317.183,ns,,,,,,0,0,4181,9.18814e+09
"BM_run/18",1667824,418.273,418.991,ns,,,,,,0,0,6765,4.30966e+09
"BM_run/19",1267748,551.562,552.132,ns,,,,,,0,0,10946,2.02333e+09
"BM_run/20",876800,795.784,798.289,ns,,,,,,0,0,17711,8.65402e+08
"BM_run/21",536916,1300.56,1303.64,ns,,,,,,0,0,28657,3.26982e+08
"BM_run/22",359353,1944.66,1948.03,ns,,,,,,0,0,46368,1.35476e+08
"BM_run/23",232747,3006.23,3007.87,ns,,,,,,0,0,75025,5.39973e+07
"BM_run/24",147740,4739.62,4738.59,ns,,,,,,0,0,121393,2.12746e+07
"BM_run/25",93267,7508.38,7505.21,ns,,,,,,0,0,196418,8.2075e+06
"BM_run/26",56584,12374.2,12371,ns,,,,,,0,0,317811,3.11212e+06
"BM_run/27",33919,20640.7,20638.7,ns,,,,,,0,0,514229,1.11933e+06
"BM_run/28",20110,34802,34811.2,ns,,,,,,0,0,832040,422310
"BM_run/29",11740,59646.4,59604.9,ns,,,,,,0,0,1.34627e+06,140880
"BM_run/30",7172,97641.3,97560.3,ns,,,,,,0,0,2.17831e+06,57376
"BM_run/31",4414,158850,158718,ns,,,,,,0,0,3.52458e+06,17656
"BM_run/32",2693,260163,259877,ns,,,,,,0,0,5.70289e+06,8079
"BM_run/33",1548,452506,451650,ns,,,,,,0,0,9.22746e+06,1548
