Data structure size: 9309095040 bits , construction time: 50610602593 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",3149875,221.11,222.222,ns,,,,,,0,0,2,1.79634e+13
"BM_run/2",3149967,221.061,222.191,ns,,,,,,0,0,3,1.79639e+13
"BM_run/3",3570918,195.183,195.92,ns,,,,,,0,0,5,1.2586e+13
"BM_run/4",3450938,202.089,202.88,ns,,,,,,0,0,8,7.51721e+12
"BM_run/5",2224950,313.361,314.683,ns,,,,,,0,0,13,2.99538e+12
"BM_run/6",2985681,233.805,234.606,ns,,,,,,0,0,21,2.48421e+12
"BM_run/7",2656518,262.686,263.508,ns,,,,,,0,0,34,1.36606e+12
"BM_run/8",2516828,277.075,277.855,ns,,,,,,0,0,55,7.99876e+11
"BM_run/9",2819678,247.476,248.3,ns,,,,,,0,0,89,5.53833e+11
"BM_run/10",2856352,244.488,245.376,ns,,,,,,0,0,144,3.46741e+11
"BM_run/11",2275156,307.068,307.791,ns,,,,,,0,0,233,1.70691e+11
"BM_run/12",2486682,281.092,281.963,ns,,,,,,0,0,377,1.15302e+11
"BM_run/13",1941396,359.386,360.521,ns,,,,,,0,0,610,5.56326e+10
"BM_run/14",1702402,410.929,411.625,ns,,,,,,0,0,987,3.01512e+10
"BM_run/15",1772981,393.948,394.792,ns,,,,,,0,0,1597,1.94053e+10
"BM_run/16",1413347,494.626,495.35,ns,,,,,,0,0,2584,9.56129e+09
"BM_run/17",1017090,688.022,688.625,ns,,,,,,0,0,4181,4.25144e+09
"BM_run/18",577156,1211.17,1213.23,ns,,,,,,0,0,6765,1.49137e+09
"BM_run/19",367105,1902.8,1906.65,ns,,,,,,0,0,10946,5.859e+08
"BM_run/20",316142,2210.47,2214.32,ns,,,,,,0,0,17711,3.12032e+08
"BM_run/21",162719,4297.81,4302.12,ns,,,,,,0,0,28657,9.90959e+07
"BM_run/22",139265,5024.6,5026.1,ns,,,,,,0,0,46368,5.25029e+07
"BM_run/23",133078,5259.75,5260.11,ns,,,,,,0,0,75025,3.08741e+07
"BM_run/24",69637,10049.2,10045.6,ns,,,,,,0,0,121393,1.00277e+07
"BM_run/25",41891,16714,16706.1,ns,,,,,,0,0,196418,3.68641e+06
"BM_run/26",32083,21840.2,21828.4,ns,,,,,,0,0,317811,1.76456e+06
"BM_run/27",19621,35682.9,35670.9,ns,,,,,,0,0,514229,647493
"BM_run/28",11864,59008.2,58995.7,ns,,,,,,0,0,832040,249144
"BM_run/29",7076,99037.9,98973.3,ns,,,,,,0,0,1.34627e+06,84912
"BM_run/30",4326,161883,161757,ns,,,,,,0,0,2.17831e+06,34608
"BM_run/31",2648,264514,264280,ns,,,,,,0,0,3.52458e+06,10592
"BM_run/32",1635,428617,428124,ns,,,,,,0,0,5.70289e+06,4905
"BM_run/33",1032,673810,672690,ns,,,,,,0,1032,9.22746e+06,1032
