Data structure size: 9309168352 bits , construction time: 23508331820 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",159747,4378.85,4381.91,ns,,,,,,0,0,2,9.11019e+11
"BM_run/2",159294,4391.25,4394.89,ns,,,,,,0,0,3,9.08436e+11
"BM_run/3",302699,2308.22,2312.44,ns,,,,,,0,0,5,1.06689e+12
"BM_run/4",296891,2354.22,2358.2,ns,,,,,,0,0,8,6.4672e+11
"BM_run/5",152794,4578.13,4581.13,ns,,,,,,0,0,13,2.05702e+11
"BM_run/6",308513,2263.44,2268.74,ns,,,,,,0,0,21,2.56695e+11
"BM_run/7",195255,3580.19,3584.54,ns,,,,,,0,0,34,1.00406e+11
"BM_run/8",185250,3774.37,3778.52,ns,,,,,,0,0,55,5.88745e+10
"BM_run/9",175837,3979.71,3983.32,ns,,,,,,0,0,89,3.45374e+10
"BM_run/10",253738,2753.51,2758.17,ns,,,,,,0,0,144,3.0802e+10
"BM_run/11",158167,4415.98,4419.56,ns,,,,,,0,0,233,1.18663e+10
"BM_run/12",239067,2923.05,2927.48,ns,,,,,,0,0,377,1.10851e+10
"BM_run/13",146601,4771.84,4775.08,ns,,,,,,0,0,610,4.201e+09
"BM_run/14",136567,5123.31,5125.91,ns,,,,,,0,0,987,2.41874e+09
"BM_run/15",121706,5749.35,5751.77,ns,,,,,,0,0,1597,1.33207e+09
"BM_run/16",153916,4542.03,4545.21,ns,,,,,,0,0,2584,1.04124e+09
"BM_run/17",87448,8004.23,8005.69,ns,,,,,,0,0,4181,3.65533e+08
"BM_run/18",76154,9187.95,9188.76,ns,,,,,,0,0,6765,1.96782e+08
"BM_run/19",70090,9980.94,9981.5,ns,,,,,,0,0,10946,1.11864e+08
"BM_run/20",99784,7016.77,7018.23,ns,,,,,,0,0,17711,9.84868e+07
"BM_run/21",71653,9766.69,9764.82,ns,,,,,,0,0,28657,4.36367e+07
"BM_run/22",55714,12567.3,12562.7,ns,,,,,,0,0,46368,2.10042e+07
"BM_run/23",39701,17639.5,17630.1,ns,,,,,,0,0,75025,9.21063e+06
"BM_run/24",32579,21496.8,21484.1,ns,,,,,,0,0,121393,4.69138e+06
"BM_run/25",18790,37266.7,37245.1,ns,,,,,,0,0,196418,1.65352e+06
"BM_run/26",12890,54269.7,54238.7,ns,,,,,,0,0,317811,708950
"BM_run/27",8519,82227.9,82178.1,ns,,,,,,0,0,514229,281127
"BM_run/28",5658,123762,123667,ns,,,,,,0,0,832040,118818
"BM_run/29",3478,201399,201219,ns,,,,,,0,0,1.34627e+06,41736
"BM_run/30",2182,321113,320835,ns,,,,,,0,0,2.17831e+06,17456
"BM_run/31",1361,515217,514768,ns,,,,,,0,0,3.52458e+06,5444
"BM_run/32",850,824717,823910,ns,,,,,,0,0,5.70289e+06,2550
"BM_run/33",526,1.33335e+06,1.33159e+06,ns,,,,,,0,0,9.22746e+06,526
