Data structure size: 955542976 bits , construction time: 144993681 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1",90,7.73755e+06,7.73346e+06,ns,,,,,,0,0,2,5.1326e+08
"BM_run/2",90,7.74102e+06,7.73699e+06,ns,,,,,,0,0,3,5.1326e+08
"BM_run/3",146,4.79821e+06,4.79566e+06,ns,,,,,,0,0,5,5.14588e+08
"BM_run/4",174,4.10415e+06,4.1019e+06,ns,,,,,,0,0,8,3.79026e+08
"BM_run/5",275,2.54956e+06,2.54817e+06,ns,,,,,,0,0,13,3.70224e+08
"BM_run/6",449,1.56586e+06,1.56502e+06,ns,,,,,,0,0,21,3.73586e+08
"BM_run/7",728,944753,944271,ns,,,,,,0,0,34,3.74358e+08
"BM_run/8",1203,582873,582568,ns,,,,,,0,0,55,3.82327e+08
"BM_run/9",1947,359000,358816,ns,,,,,,0,0,89,3.82424e+08
"BM_run/10",3149,222749,222640,ns,,,,,,0,0,144,3.82267e+08
"BM_run/11",5071,138226,138158,ns,,,,,,0,0,233,3.80447e+08
"BM_run/12",8152,85861.7,85823,ns,,,,,,0,0,377,3.77992e+08
"BM_run/13",13077,53684,53662.5,ns,,,,,,0,0,610,3.74735e+08
"BM_run/14",20293,34542.1,34530.8,ns,,,,,,0,0,987,3.59409e+08
"BM_run/15",30110,23272,23266,ns,,,,,,0,0,1597,3.29554e+08
"BM_run/16",37406,18443.5,18441.7,ns,,,,,,0,0,2584,2.53052e+08
"BM_run/17",43802,15976.2,15976.6,ns,,,,,,0,0,4181,1.83092e+08
"BM_run/18",41394,16921.2,16922.1,ns,,,,,,0,0,6765,1.06962e+08
"BM_run/19",29923,23399.2,23397.2,ns,,,,,,0,0,10946,4.77571e+07
"BM_run/20",21274,32918.3,32909.2,ns,,,,,,0,0,17711,2.09974e+07
"BM_run/21",13421,52173.1,52150.6,ns,,,,,,0,0,28657,8.17339e+06
"BM_run/22",10029,69840.6,69806,ns,,,,,,0,0,46368,3.78093e+06
"BM_run/23",6168,113270,113211,ns,,,,,,0,0,75025,1.43098e+06
"BM_run/24",3309,211595,211480,ns,,,,,,0,0,121393,476496
"BM_run/25",2599,269675,269506,ns,,,,,,0,0,196418,228712
"BM_run/26",1546,453546,453261,ns,,,,,,0,0,317811,85030
"BM_run/27",1040,672405,671935,ns,,,,,,0,0,514229,34320
"BM_run/28",739,947327,946643,ns,,,,,,0,0,832040,15519
"BM_run/29",425,1.64824e+06,1.64696e+06,ns,,,,,,0,0,1.34627e+06,5100
"BM_run/30",262,2.66755e+06,2.66544e+06,ns,,,,,,0,0,2.17831e+06,2096
"BM_run/31",205,3.41101e+06,3.40814e+06,ns,,,,,,0,0,3.52458e+06,820
"BM_run/32",116,6.02786e+06,6.02261e+06,ns,,,,,,0,0,5.70289e+06,348
"BM_run/33",79,8.85776e+06,8.8476e+06,ns,,,,,,0,0,9.22746e+06,79
