Data structure size: 91888813824 bits , construction time: 28141182917 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,551.146,552.078,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,353.603,351.198,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,1384.74,1379.72,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,574.86,569.789,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,836.306,831.839,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,764.373,758.805,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,894.082,888.659,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,676.455,669.152,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,773.519,767.098,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,813.181,806.121,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,955.349,946.451,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,1154.36,1146.57,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,1078.2,1070.86,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,1135.79,1128.46,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,1207.27,1200.23,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,1153.45,1146.4,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,1179.37,1172.35,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,1219.29,1211.82,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,1214.88,1207.96,ns,,,,,,0,0,100,100755
"BM_run/200/iterations:10000",10000,1341.46,1334.85,ns,,,,,,0,0,200,10419
"BM_run/300/iterations:10000",10000,1447.54,1439.83,ns,,,,,,0,0,300,10008
"BM_run/400/iterations:10000",10000,1457.41,1451.13,ns,,,,,,0,0,400,10001
"BM_run/500/iterations:10000",10000,1441.48,1435.55,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1589.52,1583.14,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1605.26,1598.97,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1586.75,1579.84,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,1581.87,1574.26,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,1596.66,1589.99,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,1707.56,1700.19,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,1720.75,1713.24,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,1735.28,1727.66,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,1747.39,1739.67,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,1754.62,1746.14,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,1766.71,1758.54,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,1763.65,1756.16,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,1783.28,1775.28,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,1779.58,1771.01,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,1878.92,1871.14,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,1963.54,1955.83,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,2100.73,2093.44,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,2252.04,2245.56,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,2361,2353.74,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,2485.79,2480.18,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,2594.1,2588.83,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,2699.55,2691.11,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,2808.87,2803.8,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,3971.26,3961.46,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,5393.76,5377.29,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,7063.85,7041.3,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,8842.87,8814.33,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,10722.7,10685.4,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,12610.9,12567.1,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,14488.5,14438.7,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,16394.2,16334.9,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,18446.2,18375.7,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,49567.5,49430.4,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,83484.2,83255.4,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,118369,118051,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,154490,154085,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,191385,190891,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,228883,228268,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,266233,265524,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,304484,303721,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,343264,342400,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,736401,734649,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.14034e+06,1.13752e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.52005e+06,1.51686e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.9071e+06,1.90326e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.29644e+06,2.29161e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.68708e+06,2.68164e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.07417e+06,3.06787e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.46459e+06,3.45773e+06,ns,,,,,,0,0,9e+07,10000
