Data structure size: 91805137344 bits , construction time: 26961977426 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,438.216,437.656,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,380.376,376.369,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,1420.68,1417.16,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,598.515,592.57,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,940.277,933.142,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,1001.41,994.37,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,1193.77,1185.71,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,792.118,784.03,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,926.573,918.159,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,1063.8,1055.52,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,1285.92,1276.68,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,1507.81,1498.76,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,1364.72,1356.17,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,1457.6,1449.13,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,1566.04,1557.56,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,1509.76,1500.41,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,1554.72,1546.76,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,1582.04,1573.64,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,1620.78,1612.97,ns,,,,,,0,0,100,100755
"BM_run/200/iterations:10000",10000,1765.97,1759.32,ns,,,,,,0,0,200,10419
"BM_run/300/iterations:10000",10000,1905.04,1898.22,ns,,,,,,0,0,300,10008
"BM_run/400/iterations:10000",10000,1905.8,1898.6,ns,,,,,,0,0,400,10001
"BM_run/500/iterations:10000",10000,1902.16,1895.45,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,2041.46,2034.08,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,2035.13,2028.75,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,2042.19,2035.42,ns,,,,,,0,0,800,10000
