Data structure size: 91888813824 bits , construction time: 27955439843 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,555.212,555.444,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,353.18,350.256,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,1378.13,1373.88,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,575.103,570.719,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,833.092,828.177,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,765.339,759.605,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,897.822,892.424,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,672.29,666.13,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,772.29,766.147,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,808.366,801.909,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,956.05,948.168,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,1160.2,1152.26,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,1086.47,1079.15,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,1138.02,1130.74,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,1194.14,1186.85,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,1155.32,1148.3,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,1190.49,1183.26,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,1208.49,1201.41,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,1218.78,1212.35,ns,,,,,,0,0,100,100755
"BM_run/200/iterations:10000",10000,1337.96,1331.44,ns,,,,,,0,0,200,10419
"BM_run/300/iterations:10000",10000,1452.57,1446.55,ns,,,,,,0,0,300,10008
"BM_run/400/iterations:10000",10000,1458.06,1451.14,ns,,,,,,0,0,400,10001
"BM_run/500/iterations:10000",10000,1450.82,1444.98,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,1587.25,1580.77,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,1590.46,1584.57,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,1593.8,1587.45,ns,,,,,,0,0,800,10000
