Data structure size: 91805235520 bits , construction time: 419007987990 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,11139.9,11141,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,8082.49,8080.11,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,13642.6,13634.5,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,9040.48,9034.61,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,12766.1,12758.3,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,11968.4,11959.4,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,14544.2,14534.2,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,10161.3,10153.7,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,12110.3,12100,ns,,,,,,0,0,9,1.25219e+09
"BM_run/10/iterations:10000",10000,12213,12202.1,ns,,,,,,0,0,10,1.04853e+09
"BM_run/20/iterations:10000",10000,12719.7,12706.9,ns,,,,,,0,0,20,1.90979e+08
"BM_run/30/iterations:10000",10000,15634.6,15620.4,ns,,,,,,0,0,30,9.022e+07
"BM_run/40/iterations:10000",10000,14396.1,14381.5,ns,,,,,,0,0,40,3.91474e+07
"BM_run/50/iterations:10000",10000,15285.5,15272,ns,,,,,,0,0,50,7.70178e+06
"BM_run/60/iterations:10000",10000,16158.7,16145.5,ns,,,,,,0,0,60,2.06057e+06
"BM_run/70/iterations:10000",10000,15577.7,15564.7,ns,,,,,,0,0,70,607224
"BM_run/80/iterations:10000",10000,15875,15859.3,ns,,,,,,0,0,80,428257
"BM_run/90/iterations:10000",10000,16115.5,16100,ns,,,,,,0,0,90,269535
"BM_run/100/iterations:10000",10000,16272,16256.7,ns,,,,,,0,0,100,100755
"BM_run/200/iterations:10000",10000,17033,17017.9,ns,,,,,,0,0,200,10419
"BM_run/300/iterations:10000",10000,17355.4,17339.7,ns,,,,,,0,0,300,10008
"BM_run/400/iterations:10000",10000,17505,17490.2,ns,,,,,,0,0,400,10001
"BM_run/500/iterations:10000",10000,17291.5,17275.3,ns,,,,,,0,0,500,10000
"BM_run/600/iterations:10000",10000,17757.7,17742.9,ns,,,,,,0,0,600,10000
"BM_run/700/iterations:10000",10000,17714.2,17696.3,ns,,,,,,0,0,700,10000
"BM_run/800/iterations:10000",10000,17709.5,17693.3,ns,,,,,,0,0,800,10000
"BM_run/900/iterations:10000",10000,17713.2,17697.2,ns,,,,,,0,0,900,10000
"BM_run/1000/iterations:10000",10000,17802.6,17787.3,ns,,,,,,0,0,1000,10000
"BM_run/2000/iterations:10000",10000,18276.5,18259.1,ns,,,,,,0,0,2000,10000
"BM_run/3000/iterations:10000",10000,18449.6,18432.8,ns,,,,,,0,0,3000,10000
"BM_run/4000/iterations:10000",10000,18617.3,18599.5,ns,,,,,,0,0,4000,10000
"BM_run/5000/iterations:10000",10000,18674.6,18659.6,ns,,,,,,0,0,5000,10000
"BM_run/6000/iterations:10000",10000,18705.5,18689.4,ns,,,,,,0,0,6000,10000
"BM_run/7000/iterations:10000",10000,18656.8,18640.5,ns,,,,,,0,0,7000,10000
"BM_run/8000/iterations:10000",10000,18826.5,18810.8,ns,,,,,,0,0,8000,10000
"BM_run/9000/iterations:10000",10000,18959.3,18943.2,ns,,,,,,0,0,9000,10000
"BM_run/10000/iterations:10000",10000,18934.7,18917.4,ns,,,,,,0,0,10000,10000
"BM_run/20000/iterations:10000",10000,19855.4,19836.8,ns,,,,,,0,0,20000,10000
"BM_run/30000/iterations:10000",10000,20980.2,20960.1,ns,,,,,,0,0,30000,10000
"BM_run/40000/iterations:10000",10000,22079.9,22057.3,ns,,,,,,0,0,40000,10000
"BM_run/50000/iterations:10000",10000,23237.6,23212.8,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,24324.4,24300.4,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,21992.6,21969.9,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,22795.4,22772.3,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,23804.3,23782.1,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,25009.7,24984.8,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,28834.9,28805,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,35892.4,35853.1,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,39792.9,39744.9,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,47103.3,47037.2,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,51170.6,51097.4,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,58369.2,58280.5,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,62390.2,62290.2,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,69901.1,69778.5,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,74044.9,73917.1,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,135868,135576,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,199743,199269,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,260874,260274,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,325477,324712,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,390980,390098,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,456378,455370,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,520040,518908,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,586469,585224,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,653687,652277,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,1.32556e+06,1.32293e+06,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,2.01556e+06,2.01191e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,2.71043e+06,2.70572e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,3.41147e+06,3.40547e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,4.10653e+06,4.0994e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,4.80263e+06,4.79397e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,5.49505e+06,5.4852e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,6.18686e+06,6.17608e+06,ns,,,,,,0,0,9e+07,10000
