Data structure size: 91806157120 bits , construction time: 168101497415 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,6004.18,6008.9,ns,,,,,,0,0,1,7.2619e+10
"BM_run/2/iterations:10000",10000,2980.19,2981.37,ns,,,,,,0,0,2,1.20934e+10
"BM_run/3/iterations:10000",10000,5435.3,5434.32,ns,,,,,,0,0,3,5.83214e+09
"BM_run/4/iterations:10000",10000,3574.18,3572.15,ns,,,,,,0,0,4,3.70582e+09
"BM_run/5/iterations:10000",10000,4895.3,4893.73,ns,,,,,,0,0,5,2.82931e+09
"BM_run/6/iterations:10000",10000,4520.9,4518.32,ns,,,,,,0,0,6,2.3709e+09
"BM_run/7/iterations:10000",10000,5379.93,5376.51,ns,,,,,,0,0,7,1.83901e+09
"BM_run/8/iterations:10000",10000,3719.34,3716.8,ns,,,,,,0,0,8,1.49201e+09
"BM_run/9/iterations:10000",10000,4430.93,4428.39,ns,,,,,,0,1,9,1.25219e+09
"BM_run/10/iterations:10000",10000,4510.32,4507.5,ns,,,,,,0,4,10,1.04853e+09
"BM_run/20/iterations:10000",10000,5001.86,4996.17,ns,,,,,,0,3,20,1.90979e+08
"BM_run/30/iterations:10000",10000,6130.6,6124.17,ns,,,,,,0,5,30,9.022e+07
"BM_run/40/iterations:10000",10000,5954.69,5948.96,ns,,,,,,0,7,40,3.91474e+07
"BM_run/50/iterations:10000",10000,6398.35,6390.59,ns,,,,,,0,2,50,7.70178e+06
"BM_run/60/iterations:10000",10000,6938.72,6929.87,ns,,,,,,0,6,60,2.06057e+06
"BM_run/70/iterations:10000",10000,6808.15,6801,ns,,,,,,0,3,70,607224
"BM_run/80/iterations:10000",10000,7013.28,7004.06,ns,,,,,,0,6,80,428257
"BM_run/90/iterations:10000",10000,7166.67,7159.08,ns,,,,,,0,6,90,269535
"BM_run/100/iterations:10000",10000,7284.76,7277.79,ns,,,,,,0,3,100,100755
"BM_run/200/iterations:10000",10000,7924.37,7913.35,ns,,,,,,0,7,200,10419
"BM_run/300/iterations:10000",10000,8295.08,8287.78,ns,,,,,,0,1,300,10008
"BM_run/400/iterations:10000",10000,8317.12,8308.3,ns,,,,,,0,4,400,10001
"BM_run/500/iterations:10000",10000,8411.31,8402.18,ns,,,,,,0,7,500,10000
"BM_run/600/iterations:10000",10000,8717,8707.84,ns,,,,,,0,2,600,10000
"BM_run/700/iterations:10000",10000,8743.06,8733.98,ns,,,,,,0,6,700,10000
"BM_run/800/iterations:10000",10000,8784.59,8775.55,ns,,,,,,0,5,800,10000
"BM_run/900/iterations:10000",10000,8805.1,8794.89,ns,,,,,,0,3,900,10000
"BM_run/1000/iterations:10000",10000,8940.05,8928,ns,,,,,,0,6,1000,10000
"BM_run/2000/iterations:10000",10000,9463.25,9451.03,ns,,,,,,0,10,2000,10000
"BM_run/3000/iterations:10000",10000,9582.81,9573.38,ns,,,,,,0,4,3000,10000
"BM_run/4000/iterations:10000",10000,9711.4,9698.12,ns,,,,,,0,2,4000,10000
"BM_run/5000/iterations:10000",10000,9873.36,9861.44,ns,,,,,,0,7,5000,10000
"BM_run/6000/iterations:10000",10000,10064.4,10051.9,ns,,,,,,0,3,6000,10000
"BM_run/7000/iterations:10000",10000,10158.2,10146.4,ns,,,,,,0,3,7000,10000
"BM_run/8000/iterations:10000",10000,10287.9,10277.7,ns,,,,,,0,5,8000,10000
"BM_run/9000/iterations:10000",10000,10456.7,10444.7,ns,,,,,,0,7,9000,10000
