Data structure size: 91805337536 bits , construction time: 145975224019 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,175.537,175.904,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,176.367,177.141,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,212.494,213.564,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,208.444,209.113,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,321.209,321.222,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,469.804,468.559,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,606.71,604.743,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,658.787,656.203,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,775.676,771.406,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,725.869,720.659,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,1004.87,999.844,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,1039.13,1034.44,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,1095.73,1091.55,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,1110.4,1105.86,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,1113.89,1109.58,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,1209.62,1205.32,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,1207.54,1203.69,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,1232.13,1228,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,1212.87,1209.56,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,1301.26,1298.05,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,1416.79,1415.18,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,1414.86,1412.45,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,1420.83,1418.68,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,1558.13,1557.22,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,1576.04,1574.11,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,1548.04,1546.38,ns,,,,,,0,0,800,10093
