Data structure size: 91888813824 bits , construction time: 34279003406 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,178.417,178.285,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,176.798,177.656,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,212.966,213.068,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,214.39,214.719,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,318.192,318.579,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,473.419,473.025,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,613.642,612.133,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,637.833,635.785,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,769.151,765.988,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,708.867,705.333,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,962.264,957.492,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,1040.94,1036.25,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,1104.67,1100.7,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,1148.09,1144.15,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,1127.77,1124.21,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,1237.23,1234.25,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,1235.55,1232.66,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,1237.08,1233.84,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,1243.96,1240.86,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,1351.43,1348.1,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,1490.47,1487.65,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,1470.42,1467.1,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,1475.13,1472,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,1642.76,1640.1,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,1627.99,1624.71,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,1616.34,1614.12,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,1653.07,1650.22,ns,,,,,,0,0,900,10090
"BM_run/1000/iterations:10000",10000,1633.33,1630.72,ns,,,,,,0,0,1000,10093
"BM_run/2000/iterations:10000",10000,1752.1,1748.44,ns,,,,,,0,0,2000,10051
"BM_run/3000/iterations:10000",10000,1875.74,1872.13,ns,,,,,,0,0,3000,10049
"BM_run/4000/iterations:10000",10000,1902.88,1898.71,ns,,,,,,0,0,4000,10047
"BM_run/5000/iterations:10000",10000,2096,2091.8,ns,,,,,,0,0,5000,10028
"BM_run/6000/iterations:10000",10000,2118.09,2114.33,ns,,,,,,0,0,6000,10031
"BM_run/7000/iterations:10000",10000,2117.33,2113.29,ns,,,,,,0,0,7000,10021
"BM_run/8000/iterations:10000",10000,2122.04,2117.18,ns,,,,,,0,0,8000,10021
"BM_run/9000/iterations:10000",10000,2386.3,2382.39,ns,,,,,,0,0,9000,10025
"BM_run/10000/iterations:10000",10000,2390.39,2387.76,ns,,,,,,0,0,10000,10015
"BM_run/20000/iterations:10000",10000,2790.09,2786.17,ns,,,,,,0,0,20000,10005
"BM_run/30000/iterations:10000",10000,2876.29,2872.17,ns,,,,,,0,0,30000,10010
"BM_run/40000/iterations:10000",10000,3461.4,3456.79,ns,,,,,,0,0,40000,10002
"BM_run/50000/iterations:10000",10000,3604.93,3600.4,ns,,,,,,0,0,50000,10008
"BM_run/60000/iterations:10000",10000,3688.7,3683.86,ns,,,,,,0,0,60000,10006
"BM_run/70000/iterations:10000",10000,4795.63,4788.91,ns,,,,,,0,0,70000,10002
"BM_run/80000/iterations:10000",10000,4943.18,4936.66,ns,,,,,,0,0,80000,10001
"BM_run/90000/iterations:10000",10000,5033.53,5027.49,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,5151.01,5144.94,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,6321.8,6310.93,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,7713.28,7697.41,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,9263.06,9242.22,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,10907,10877.6,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,12720.6,12686.5,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,14553.4,14509.5,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,16453.4,16404.8,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,18308.7,18248.2,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,20339.3,20265.5,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,50794.8,50666.7,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,84546.9,84351,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,119319,119042,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,155387,155047,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,192319,191900,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,229856,229354,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,267491,266896,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,305525,304867,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,344057,343298,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,736487,734819,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.14e+06,1.13722e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.51639e+06,1.51336e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.89972e+06,1.89611e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.28706e+06,2.28274e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.67761e+06,2.67272e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.06519e+06,3.05966e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.45465e+06,3.4485e+06,ns,,,,,,0,0,9e+07,10000
