Data structure size: 91805137344 bits , construction time: 32403549891 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,183.82,183.92,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,184.784,185.569,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,224.487,225.233,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,224.632,225.488,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,358.985,359.159,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,547.044,545.841,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,767.831,766.026,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,671.542,668.761,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,1000.38,996.728,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,1158.62,1152.56,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,1582.68,1578.72,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,1626.58,1623.11,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,1731.45,1729.11,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,1742.7,1740.06,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,1754.91,1751.6,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,1846.71,1844.49,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,1872.62,1870.08,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,1857.23,1854.88,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,1861.44,1859.27,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,2006.23,2004.39,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,2132.77,2130.47,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,2145.18,2142.63,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,2157.81,2156.36,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,2292.56,2289.67,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,2301.32,2299.01,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,2312.08,2310.15,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,2315.83,2313.89,ns,,,,,,0,0,900,10090
