Data structure size: 91805132736 bits , construction time: 622877796573 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,229.203,229.865,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,236.433,236.473,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,327.167,327.873,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,277.344,277.443,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,457.001,456.813,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,645.961,644.412,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,915.721,912.47,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,738.927,735.64,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,1139.91,1135.24,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,1272.94,1267.69,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,1984.86,1979.73,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,2129.61,2125.33,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,2366.29,2363.05,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,2383.54,2380.23,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,2403.29,2399.79,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,2677.56,2673.93,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,2686.4,2682.43,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,2682.94,2679.58,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,2680.15,2676.35,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,3001.55,2997.23,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,3301.66,3297.8,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,3284.43,3280.08,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,3287.31,3283.51,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,3598.55,3595.01,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,3601.13,3596.68,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,3622.55,3617.71,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,3605.94,3601.42,ns,,,,,,0,0,900,10090
"BM_run/1000/iterations:10000",10000,3618.5,3614.23,ns,,,,,,0,0,1000,10093
"BM_run/2000/iterations:10000",10000,3970.42,3965.76,ns,,,,,,0,0,2000,10051
"BM_run/3000/iterations:10000",10000,4405.44,4398.27,ns,,,,,,0,0,3000,10049
"BM_run/4000/iterations:10000",10000,4407.22,4401.21,ns,,,,,,0,0,4000,10047
"BM_run/5000/iterations:10000",10000,4914.79,4909.63,ns,,,,,,0,0,5000,10028
"BM_run/6000/iterations:10000",10000,4944.39,4939.01,ns,,,,,,0,0,6000,10031
"BM_run/7000/iterations:10000",10000,4976.33,4969.65,ns,,,,,,0,0,7000,10021
"BM_run/8000/iterations:10000",10000,4987.82,4981.85,ns,,,,,,0,0,8000,10021
"BM_run/9000/iterations:10000",10000,5711.62,5705.54,ns,,,,,,0,0,9000,10025
"BM_run/10000/iterations:10000",10000,5715.28,5709.43,ns,,,,,,0,0,10000,10015
"BM_run/20000/iterations:10000",10000,6957.91,6950.39,ns,,,,,,0,0,20000,10005
"BM_run/30000/iterations:10000",10000,7086.78,7079.07,ns,,,,,,0,0,30000,10010
"BM_run/40000/iterations:10000",10000,9177.05,9166.94,ns,,,,,,0,0,40000,10002
"BM_run/50000/iterations:10000",10000,9303.72,9294.81,ns,,,,,,0,0,50000,10008
"BM_run/60000/iterations:10000",10000,9422.6,9412.94,ns,,,,,,0,0,60000,10006
"BM_run/70000/iterations:10000",10000,13272.3,13258,ns,,,,,,0,0,70000,10002
"BM_run/80000/iterations:10000",10000,13264.9,13250.4,ns,,,,,,0,0,80000,10001
"BM_run/90000/iterations:10000",10000,13243,13228.7,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,13253.8,13239.3,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,13305.1,13286.8,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,13310.8,13290.7,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,13383.8,13360,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,13435.7,13410,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,13550.9,13522.6,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,13624.7,13588.6,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,13719.6,13684.1,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,13834.3,13788.4,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,13937.2,13886.9,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,14706.6,14593.7,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,14963.5,14828.2,ns,,,,,,0,0,3e+06,10000
