Data structure size: 91888813824 bits , construction time: 34052672253 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,176.837,177.321,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,177.921,178.517,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,212.606,213.173,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,213.853,214.687,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,319.865,319.444,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,472.707,471.439,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,615.183,613.265,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,637.995,635.308,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,764.864,760.968,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,709.291,705.073,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,970.88,965.927,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,1045.3,1039.72,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,1109.37,1104.94,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,1122.21,1117.83,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,1118.15,1113.73,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,1236.73,1232.76,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,1227.95,1224.22,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,1236.73,1232.64,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,1235.2,1231.11,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,1351.4,1347.59,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,1472.69,1469.7,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,1470.85,1467.12,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,1470.82,1468.1,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,1622,1619.09,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,1622.19,1618.88,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,1621.71,1618.85,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,1634.46,1631.62,ns,,,,,,0,0,900,10090
"BM_run/1000/iterations:10000",10000,1637.88,1634.63,ns,,,,,,0,0,1000,10093
"BM_run/2000/iterations:10000",10000,1751.67,1748.31,ns,,,,,,0,0,2000,10051
"BM_run/3000/iterations:10000",10000,1898.79,1895.92,ns,,,,,,0,0,3000,10049
"BM_run/4000/iterations:10000",10000,1915.23,1908.02,ns,,,,,,0,0,4000,10047
"BM_run/5000/iterations:10000",10000,2107.07,2103.05,ns,,,,,,0,0,5000,10028
"BM_run/6000/iterations:10000",10000,2102.88,2098.56,ns,,,,,,0,0,6000,10031
"BM_run/7000/iterations:10000",10000,2112.11,2108.06,ns,,,,,,0,0,7000,10021
"BM_run/8000/iterations:10000",10000,2115.61,2111.17,ns,,,,,,0,0,8000,10021
"BM_run/9000/iterations:10000",10000,2391.02,2387.45,ns,,,,,,0,0,9000,10025
"BM_run/10000/iterations:10000",10000,2385.88,2383.64,ns,,,,,,0,0,10000,10015
"BM_run/20000/iterations:10000",10000,2777.4,2773.28,ns,,,,,,0,0,20000,10005
"BM_run/30000/iterations:10000",10000,2870.21,2864.94,ns,,,,,,0,0,30000,10010
"BM_run/40000/iterations:10000",10000,3464.21,3459.39,ns,,,,,,0,0,40000,10002
"BM_run/50000/iterations:10000",10000,3578.7,3574.38,ns,,,,,,0,0,50000,10008
"BM_run/60000/iterations:10000",10000,3709.25,3703.85,ns,,,,,,0,0,60000,10006
"BM_run/70000/iterations:10000",10000,4759.51,4753.19,ns,,,,,,0,0,70000,10002
"BM_run/80000/iterations:10000",10000,4770.17,4764.55,ns,,,,,,0,0,80000,10001
"BM_run/90000/iterations:10000",10000,4768.01,4760.08,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,4768.74,4762.41,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,4806.69,4798.09,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,4822.71,4812.09,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,4860.18,4845.04,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,4916.44,4899.37,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,4996.49,4973.55,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,5057.53,5032.63,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,5173.85,5143.67,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,5251.84,5216.75,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,5385.4,5345.39,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,6154.6,6053.04,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,6327.37,6205.33,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,6483.69,6344.85,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,6676.49,6526.28,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,6776.69,6634.1,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,6894.87,6741.89,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,7025.78,6864.1,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,7146.64,6984.4,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,7182.71,7016.42,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,7619.75,7396.92,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,7908.9,7598.76,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,8140.52,7778.64,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,8264.55,7844.64,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,8393.19,7927.88,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,8404.21,7927.31,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,8483.42,8003.85,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,8517.14,8042.75,ns,,,,,,0,0,9e+07,10000
