Data structure size: 13421773248 bits , construction time: 2896187618 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,8.03676e+07,8.03268e+07,ns,,,,,,0,0,1,5.41885e+11
"BM_run/2/iterations:10000",10000,2.44043e+07,2.43918e+07,ns,,,,,,0,0,2,1.46152e+11
"BM_run/3/iterations:10000",10000,6.86985e+06,6.86628e+06,ns,,,,,,0,0,3,3.98813e+10
"BM_run/4/iterations:10000",10000,1.89435e+06,1.89336e+06,ns,,,,,,0,0,4,1.09272e+10
"BM_run/5/iterations:10000",10000,530575,530291,ns,,,,,,0,0,5,3.04999e+09
"BM_run/6/iterations:10000",10000,153173,153088,ns,,,,,,0,0,6,8.66281e+08
"BM_run/7/iterations:10000",10000,48819.2,48791.5,ns,,,,,,0,0,7,2.61574e+08
"BM_run/8/iterations:10000",10000,17341,17329.5,ns,,,,,,0,0,8,8.04031e+07
"BM_run/9/iterations:10000",10000,8835.85,8830.16,ns,,,,,,0,0,9,3.2537e+07
"BM_run/10/iterations:10000",10000,5456.07,5453.68,ns,,,,,,0,0,10,1.46999e+07
"BM_run/20/iterations:10000",10000,2248.86,2246.94,ns,,,,,,0,0,20,756996
"BM_run/30/iterations:10000",10000,2418.98,2416.6,ns,,,,,,0,0,30,167402
"BM_run/40/iterations:10000",10000,2656.54,2653.78,ns,,,,,,0,0,40,39228
"BM_run/50/iterations:10000",10000,2738.99,2736.19,ns,,,,,,0,0,50,24201
"BM_run/60/iterations:10000",10000,2739.02,2735.43,ns,,,,,,0,0,60,19098
"BM_run/70/iterations:10000",10000,2718.18,2714.56,ns,,,,,,0,0,70,14503
"BM_run/80/iterations:10000",10000,2775.77,2772.94,ns,,,,,,0,0,80,13045
"BM_run/90/iterations:10000",10000,2742.33,2738.59,ns,,,,,,0,0,90,11713
"BM_run/100/iterations:10000",10000,2765.64,2762.93,ns,,,,,,0,0,100,12060
"BM_run/200/iterations:10000",10000,2798.53,2795.67,ns,,,,,,0,0,200,10225
"BM_run/300/iterations:10000",10000,2813.67,2810.04,ns,,,,,,0,0,300,10153
"BM_run/400/iterations:10000",10000,2883.2,2879.57,ns,,,,,,0,0,400,10121
"BM_run/500/iterations:10000",10000,2897.4,2894.47,ns,,,,,,0,0,500,10149
"BM_run/600/iterations:10000",10000,2949.31,2947.04,ns,,,,,,0,0,600,10114
"BM_run/700/iterations:10000",10000,2959.33,2955.98,ns,,,,,,0,0,700,10098
"BM_run/800/iterations:10000",10000,3022.55,3019.33,ns,,,,,,0,0,800,10093
"BM_run/900/iterations:10000",10000,3056.73,3052.95,ns,,,,,,0,0,900,10090
"BM_run/1000/iterations:10000",10000,3110.71,3107.5,ns,,,,,,0,0,1000,10093
"BM_run/2000/iterations:10000",10000,3505.82,3500.33,ns,,,,,,0,0,2000,10051
"BM_run/3000/iterations:10000",10000,3973.77,3968.28,ns,,,,,,0,0,3000,10049
"BM_run/4000/iterations:10000",10000,4362.01,4356.73,ns,,,,,,0,0,4000,10047
"BM_run/5000/iterations:10000",10000,4778.1,4773.1,ns,,,,,,0,0,5000,10028
"BM_run/6000/iterations:10000",10000,5191.69,5183.87,ns,,,,,,0,0,6000,10031
"BM_run/7000/iterations:10000",10000,5615.77,5609.41,ns,,,,,,0,0,7000,10021
"BM_run/8000/iterations:10000",10000,6011.45,6004.53,ns,,,,,,0,0,8000,10021
"BM_run/9000/iterations:10000",10000,6421.62,6413.09,ns,,,,,,0,0,9000,10025
"BM_run/10000/iterations:10000",10000,6891.52,6883.5,ns,,,,,,0,0,10000,10015
"BM_run/20000/iterations:10000",10000,10917,10905.3,ns,,,,,,0,0,20000,10005
"BM_run/30000/iterations:10000",10000,15023,15008.8,ns,,,,,,0,0,30000,10010
"BM_run/40000/iterations:10000",10000,19067.5,19047.3,ns,,,,,,0,0,40000,10002
"BM_run/50000/iterations:10000",10000,23158.8,23133.9,ns,,,,,,0,0,50000,10008
"BM_run/60000/iterations:10000",10000,27205.3,27178.2,ns,,,,,,0,0,60000,10006
"BM_run/70000/iterations:10000",10000,31278,31245.7,ns,,,,,,0,0,70000,10002
"BM_run/80000/iterations:10000",10000,35350.9,35316.5,ns,,,,,,0,0,80000,10001
"BM_run/90000/iterations:10000",10000,39433.6,39392.6,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,43523.3,43479.1,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,83968,83885.4,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,124543,124422,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,165536,165372,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,206005,205801,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,247493,247244,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,287372,287087,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,328624,328294,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,368727,368345,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,409429,408996,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,816012,815014,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,1.21515e+06,1.21358e+06,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,1.61725e+06,1.61517e+06,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,2.02093e+06,2.0182e+06,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,2.42775e+06,2.42436e+06,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,2.82841e+06,2.82433e+06,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,3.23471e+06,3.2302e+06,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,3.6408e+06,3.63568e+06,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,4.03584e+06,4.03009e+06,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,8.07614e+06,8.0639e+06,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.21162e+07,1.20972e+07,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.61359e+07,1.61117e+07,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,2.016e+07,2.01283e+07,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.41911e+07,2.41524e+07,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.82245e+07,2.81793e+07,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.2254e+07,3.22035e+07,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.62837e+07,3.62285e+07,ns,,,,,,0,0,9e+07,10000
