Data structure size: 40265319552 bits , construction time: 11698212723 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,499.638,499.761,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,1193.86,1193.17,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,2378.65,2376.91,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,3341.09,3338.25,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,4163.99,4159.47,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,4833.13,4827.11,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,5338.73,5333.78,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,5607.95,5602.73,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,5873.36,5867.22,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,5989.33,5982.73,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,6233.19,6226.47,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,6343.21,6335.87,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,6260.9,6253.46,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,6279.87,6271.8,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,6244.63,6235.76,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,6252.75,6246.38,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,6291.9,6284.29,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,6271.65,6264.18,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,6245.29,6236.65,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,6269.34,6261.97,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,6239.94,6233.01,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,6339.83,6331.74,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,6260.8,6253.52,ns,,,,,,0,0,500,14009
"BM_run/600/iterations:10000",10000,6282.84,6276.01,ns,,,,,,0,0,600,13967
"BM_run/700/iterations:10000",10000,6293.28,6285.86,ns,,,,,,0,0,700,13870
"BM_run/800/iterations:10000",10000,6277.25,6269.74,ns,,,,,,0,0,800,13800
"BM_run/900/iterations:10000",10000,6296.96,6288.72,ns,,,,,,0,0,900,13832
"BM_run/1000/iterations:10000",10000,6305.96,6297.84,ns,,,,,,0,0,1000,13699
"BM_run/2000/iterations:10000",10000,6366.51,6358.37,ns,,,,,,0,0,2000,13211
"BM_run/3000/iterations:10000",10000,6370.6,6363.84,ns,,,,,,0,0,3000,12906
"BM_run/4000/iterations:10000",10000,6406.02,6397.61,ns,,,,,,0,0,4000,12554
"BM_run/5000/iterations:10000",10000,6418.35,6410.78,ns,,,,,,0,0,5000,12357
"BM_run/6000/iterations:10000",10000,6439.38,6431.6,ns,,,,,,0,0,6000,12129
"BM_run/7000/iterations:10000",10000,6478.69,6470.4,ns,,,,,,0,0,7000,12103
"BM_run/8000/iterations:10000",10000,6493.27,6485.09,ns,,,,,,0,0,8000,11897
"BM_run/9000/iterations:10000",10000,6520.74,6512.49,ns,,,,,,0,0,9000,11802
"BM_run/10000/iterations:10000",10000,6526.69,6518.48,ns,,,,,,0,0,10000,11741
"BM_run/20000/iterations:10000",10000,6781.97,6772.7,ns,,,,,,0,0,20000,11117
"BM_run/30000/iterations:10000",10000,6974.37,6965.66,ns,,,,,,0,0,30000,10886
"BM_run/40000/iterations:10000",10000,7219.56,7209.89,ns,,,,,,0,0,40000,10789
"BM_run/50000/iterations:10000",10000,7484.29,7474.76,ns,,,,,,0,0,50000,10646
"BM_run/60000/iterations:10000",10000,7618.36,7608.18,ns,,,,,,0,0,60000,10605
"BM_run/70000/iterations:10000",10000,7823.2,7814.13,ns,,,,,,0,0,70000,10539
"BM_run/80000/iterations:10000",10000,8027.19,8016.82,ns,,,,,,0,0,80000,10490
"BM_run/90000/iterations:10000",10000,8289.45,8278.51,ns,,,,,,0,0,90000,10475
"BM_run/100000/iterations:10000",10000,8444.17,8431.61,ns,,,,,,0,0,100000,10444
"BM_run/200000/iterations:10000",10000,10511.9,10493.8,ns,,,,,,0,0,200000,10326
"BM_run/300000/iterations:10000",10000,12845.8,12819.6,ns,,,,,,0,0,300000,10206
"BM_run/400000/iterations:10000",10000,15406.3,15371.8,ns,,,,,,0,0,400000,10125
"BM_run/500000/iterations:10000",10000,17994.6,17957,ns,,,,,,0,0,500000,10062
"BM_run/600000/iterations:10000",10000,20615.6,20557.2,ns,,,,,,0,0,600000,10043
"BM_run/700000/iterations:10000",10000,22958,22897.4,ns,,,,,,0,0,700000,10031
"BM_run/800000/iterations:10000",10000,25489.6,25413.8,ns,,,,,,0,0,800000,10019
"BM_run/900000/iterations:10000",10000,28046.2,27963.7,ns,,,,,,0,0,900000,10009
"BM_run/1000000/iterations:10000",10000,30900,30799.2,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,64871.5,64689.1,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,99592.1,99313.4,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,135365,134986,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,172242,171770,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,209281,208723,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,247617,246900,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,285861,285092,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,323537,322677,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,362249,361286,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,755437,753457,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.15779e+06,1.1547e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.53292e+06,1.52927e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.91592e+06,1.91154e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.30366e+06,2.29835e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.69201e+06,2.68595e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.08065e+06,3.07372e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.46748e+06,3.46026e+06,ns,,,,,,0,0,9e+07,10000
