Data structure size: 91805337536 bits , construction time: 137017334431 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,602.018,600.94,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,298.418,295.979,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,1225.04,1219.2,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,628.832,622.542,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,1333.28,1325.82,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,849.915,841.579,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,1213.86,1204.75,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,751.865,742.867,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,927.112,916.36,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,857.245,847.714,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,1082.8,1073.77,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,1107.64,1098.2,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,1161.32,1152.6,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,1158.59,1150.49,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,1156.2,1148.46,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,1240.49,1233.24,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,1251.57,1243.38,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,1260.57,1252.35,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,1235.37,1226.93,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,1336.71,1329.21,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,1464.66,1458,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,1458.67,1452.45,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,1459.23,1452.38,ns,,,,,,0,0,500,14009
"BM_run/600/iterations:10000",10000,1567.88,1561.98,ns,,,,,,0,0,600,13967
"BM_run/700/iterations:10000",10000,1604.95,1598.53,ns,,,,,,0,0,700,13870
"BM_run/800/iterations:10000",10000,1590.09,1583.96,ns,,,,,,0,0,800,13800
"BM_run/900/iterations:10000",10000,1592.01,1585.53,ns,,,,,,0,0,900,13832
"BM_run/1000/iterations:10000",10000,1615.46,1608.72,ns,,,,,,0,0,1000,13699
"BM_run/2000/iterations:10000",10000,1806.86,1799.87,ns,,,,,,0,0,2000,13211
"BM_run/3000/iterations:10000",10000,2038.17,2029.9,ns,,,,,,0,0,3000,12906
"BM_run/4000/iterations:10000",10000,2088.01,2081.1,ns,,,,,,0,0,4000,12554
"BM_run/5000/iterations:10000",10000,2377.25,2370.25,ns,,,,,,0,0,5000,12357
"BM_run/6000/iterations:10000",10000,2420.08,2411.68,ns,,,,,,0,0,6000,12129
"BM_run/7000/iterations:10000",10000,2473.96,2464.97,ns,,,,,,0,0,7000,12103
"BM_run/8000/iterations:10000",10000,2489.16,2481.21,ns,,,,,,0,0,8000,11897
"BM_run/9000/iterations:10000",10000,2879.68,2871.2,ns,,,,,,0,0,9000,11802
"BM_run/10000/iterations:10000",10000,2909.21,2900.56,ns,,,,,,0,0,10000,11741
"BM_run/20000/iterations:10000",10000,3771.74,3762.83,ns,,,,,,0,0,20000,11117
"BM_run/30000/iterations:10000",10000,3945.93,3936.71,ns,,,,,,0,0,30000,10886
"BM_run/40000/iterations:10000",10000,4502.81,4495.92,ns,,,,,,0,0,40000,10789
"BM_run/50000/iterations:10000",10000,4668.12,4661.7,ns,,,,,,0,0,50000,10646
"BM_run/60000/iterations:10000",10000,4824.82,4818.02,ns,,,,,,0,0,60000,10605
"BM_run/70000/iterations:10000",10000,5868.81,5860.15,ns,,,,,,0,0,70000,10539
"BM_run/80000/iterations:10000",10000,5990.06,5981.46,ns,,,,,,0,0,80000,10490
"BM_run/90000/iterations:10000",10000,6123.01,6115.09,ns,,,,,,0,0,90000,10475
"BM_run/100000/iterations:10000",10000,6244.65,6238.16,ns,,,,,,0,0,100000,10444
"BM_run/200000/iterations:10000",10000,9186.15,9171.49,ns,,,,,,0,0,200000,10326
"BM_run/300000/iterations:10000",10000,14020,13999.9,ns,,,,,,0,0,300000,10206
"BM_run/400000/iterations:10000",10000,15432.4,15406.7,ns,,,,,,0,0,400000,10125
"BM_run/500000/iterations:10000",10000,16951.4,16920.9,ns,,,,,,0,0,500000,10062
"BM_run/600000/iterations:10000",10000,25427.3,25381.5,ns,,,,,,0,0,600000,10043
"BM_run/700000/iterations:10000",10000,26817.7,26759.4,ns,,,,,,0,0,700000,10031
"BM_run/800000/iterations:10000",10000,28289.7,28224.2,ns,,,,,,0,0,800000,10019
"BM_run/900000/iterations:10000",10000,29889.6,29812.4,ns,,,,,,0,0,900000,10009
"BM_run/1000000/iterations:10000",10000,31562.3,31475,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,59721.2,59569.3,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,93059.9,92820.1,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,127637,127303,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,163544,163107,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,200648,200118,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,238068,237445,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,275515,274816,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,314842,314049,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,353319,352424,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,744307,742352,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.14388e+06,1.14079e+06,ns,,,,,,0,0,3e+07,10000
