Data structure size: 91805137344 bits , construction time: 65113072905 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,461.399,460.992,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,310.116,306.06,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,1250.77,1244.92,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,605.441,597.448,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,1417.84,1409.57,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,1128.67,1120.56,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,1633.12,1623.61,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,782.82,773.479,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,1089.45,1079.45,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,1223.73,1213.11,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,1492.15,1484.7,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,1494.42,1487.6,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,1659.13,1652.24,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,1662.68,1655.99,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,1650.89,1644.81,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,1736.86,1730.56,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,1747.57,1741.82,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,1742.04,1735.61,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,1760.15,1753.91,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,1908.5,1902.13,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,2008.69,2002.3,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,2005.23,1998.74,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,2035.01,2028.34,ns,,,,,,0,0,500,14009
"BM_run/600/iterations:10000",10000,2150.45,2143.98,ns,,,,,,0,0,600,13967
"BM_run/700/iterations:10000",10000,2148.82,2142.98,ns,,,,,,0,0,700,13870
"BM_run/800/iterations:10000",10000,2156.98,2151.33,ns,,,,,,0,0,800,13800
"BM_run/900/iterations:10000",10000,2171.26,2164.51,ns,,,,,,0,0,900,13832
"BM_run/1000/iterations:10000",10000,2172.84,2166.71,ns,,,,,,0,0,1000,13699
"BM_run/2000/iterations:10000",10000,2428.37,2422.41,ns,,,,,,0,0,2000,13211
"BM_run/3000/iterations:10000",10000,2620.38,2612.93,ns,,,,,,0,0,3000,12906
"BM_run/4000/iterations:10000",10000,2671.2,2664.63,ns,,,,,,0,0,4000,12554
"BM_run/5000/iterations:10000",10000,2887,2880.07,ns,,,,,,0,0,5000,12357
"BM_run/6000/iterations:10000",10000,2914.53,2907.34,ns,,,,,,0,0,6000,12129
"BM_run/7000/iterations:10000",10000,2974.92,2967.07,ns,,,,,,0,0,7000,12103
"BM_run/8000/iterations:10000",10000,2994.5,2987.81,ns,,,,,,0,0,8000,11897
"BM_run/9000/iterations:10000",10000,3235.78,3226.93,ns,,,,,,0,0,9000,11802
"BM_run/10000/iterations:10000",10000,3274.33,3265.82,ns,,,,,,0,0,10000,11741
"BM_run/20000/iterations:10000",10000,3895.98,3887.7,ns,,,,,,0,0,20000,11117
"BM_run/30000/iterations:10000",10000,4116.42,4107.76,ns,,,,,,0,0,30000,10886
"BM_run/40000/iterations:10000",10000,4953.84,4943.9,ns,,,,,,0,0,40000,10789
"BM_run/50000/iterations:10000",10000,5173.64,5166.17,ns,,,,,,0,0,50000,10646
"BM_run/60000/iterations:10000",10000,5298.05,5289.49,ns,,,,,,0,0,60000,10605
"BM_run/70000/iterations:10000",10000,6723.48,6715.31,ns,,,,,,0,0,70000,10539
"BM_run/80000/iterations:10000",10000,7071.03,7067.62,ns,,,,,,0,0,80000,10490
"BM_run/90000/iterations:10000",10000,7173.87,7169.29,ns,,,,,,0,0,90000,10475
"BM_run/100000/iterations:10000",10000,7293.54,7288.46,ns,,,,,,0,0,100000,10444
"BM_run/200000/iterations:10000",10000,9726.06,9721.58,ns,,,,,,0,0,200000,10326
"BM_run/300000/iterations:10000",10000,13772.2,13762.3,ns,,,,,,0,0,300000,10206
"BM_run/400000/iterations:10000",10000,15610.2,15600,ns,,,,,,0,0,400000,10125
"BM_run/500000/iterations:10000",10000,17542.2,17527,ns,,,,,,0,0,500000,10062
"BM_run/600000/iterations:10000",10000,24794.5,24769.6,ns,,,,,,0,0,600000,10043
"BM_run/700000/iterations:10000",10000,26832,26801.2,ns,,,,,,0,0,700000,10031
"BM_run/800000/iterations:10000",10000,28682.2,28646.5,ns,,,,,,0,0,800000,10019
"BM_run/900000/iterations:10000",10000,30626,30582.7,ns,,,,,,0,0,900000,10009
"BM_run/1000000/iterations:10000",10000,32777,32732.7,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,66396,66279.3,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,100285,100109,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,135329,135077,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,171455,171137,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,208506,208129,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,246115,245679,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,284094,283591,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,322626,322057,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,361749,361103,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,754341,752685,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.15634e+06,1.15336e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.54086e+06,1.5374e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.92663e+06,1.92236e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.31613e+06,2.31088e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.70517e+06,2.69898e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.08951e+06,3.08271e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.47733e+06,3.46976e+06,ns,,,,,,0,0,9e+07,10000
