Data structure size: 91805132736 bits , construction time: 552437960063 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,653.154,653.653,ns,,,,,,0,0,1,1.3837e+11
"BM_run/2/iterations:10000",10000,355.081,351.332,ns,,,,,,0,0,2,1.51809e+10
"BM_run/3/iterations:10000",10000,1377.34,1371.08,ns,,,,,,0,0,3,3.65461e+09
"BM_run/4/iterations:10000",10000,666.291,659.811,ns,,,,,,0,0,4,1.33292e+09
"BM_run/5/iterations:10000",10000,1538.73,1530.98,ns,,,,,,0,0,5,5.1917e+08
"BM_run/6/iterations:10000",10000,1239.39,1230.07,ns,,,,,,0,0,6,1.38515e+08
"BM_run/7/iterations:10000",10000,1797.65,1787.25,ns,,,,,,0,0,7,6.30068e+07
"BM_run/8/iterations:10000",10000,868.436,858.319,ns,,,,,,0,0,8,2.84488e+07
"BM_run/9/iterations:10000",10000,1254.73,1244.39,ns,,,,,,0,0,9,1.25244e+07
"BM_run/10/iterations:10000",10000,1380.18,1369.16,ns,,,,,,0,0,10,7.02439e+06
"BM_run/20/iterations:10000",10000,1947.97,1938.25,ns,,,,,,0,0,20,939030
"BM_run/30/iterations:10000",10000,2037.86,2029.47,ns,,,,,,0,0,30,253131
"BM_run/40/iterations:10000",10000,2312.93,2304.51,ns,,,,,,0,0,40,458713
"BM_run/50/iterations:10000",10000,2314.95,2307.22,ns,,,,,,0,0,50,151362
"BM_run/60/iterations:10000",10000,2320.03,2311.69,ns,,,,,,0,0,60,37337
"BM_run/70/iterations:10000",10000,2597.68,2587.71,ns,,,,,,0,0,70,19942
"BM_run/80/iterations:10000",10000,2597.52,2589.69,ns,,,,,,0,0,80,22011
"BM_run/90/iterations:10000",10000,2601.12,2593.12,ns,,,,,,0,0,90,19057
"BM_run/100/iterations:10000",10000,2596.31,2587.81,ns,,,,,,0,0,100,18546
"BM_run/200/iterations:10000",10000,2896.76,2887.08,ns,,,,,,0,0,200,15711
"BM_run/300/iterations:10000",10000,3161.1,3153.21,ns,,,,,,0,0,300,14682
"BM_run/400/iterations:10000",10000,3179.67,3170.12,ns,,,,,,0,0,400,14251
"BM_run/500/iterations:10000",10000,3188.97,3179.94,ns,,,,,,0,0,500,14009
"BM_run/600/iterations:10000",10000,3457.48,3448.61,ns,,,,,,0,0,600,13967
"BM_run/700/iterations:10000",10000,3453.98,3444.57,ns,,,,,,0,0,700,13870
"BM_run/800/iterations:10000",10000,3466.91,3458.97,ns,,,,,,0,0,800,13800
"BM_run/900/iterations:10000",10000,3477.11,3468.25,ns,,,,,,0,0,900,13832
"BM_run/1000/iterations:10000",10000,3483.79,3475.27,ns,,,,,,0,0,1000,13699
"BM_run/2000/iterations:10000",10000,3801.99,3791.7,ns,,,,,,0,0,2000,13211
"BM_run/3000/iterations:10000",10000,4110.17,4100.59,ns,,,,,,0,0,3000,12906
"BM_run/4000/iterations:10000",10000,4188.16,4178.42,ns,,,,,,0,0,4000,12554
"BM_run/5000/iterations:10000",10000,4551.82,4542.32,ns,,,,,,0,0,5000,12357
"BM_run/6000/iterations:10000",10000,4620.34,4610.54,ns,,,,,,0,0,6000,12129
"BM_run/7000/iterations:10000",10000,4713.47,4703.28,ns,,,,,,0,0,7000,12103
"BM_run/8000/iterations:10000",10000,4760.28,4750.28,ns,,,,,,0,0,8000,11897
"BM_run/9000/iterations:10000",10000,5278.55,5266.77,ns,,,,,,0,0,9000,11802
"BM_run/10000/iterations:10000",10000,5332.6,5322.21,ns,,,,,,0,0,10000,11741
"BM_run/20000/iterations:10000",10000,6729.94,6717.52,ns,,,,,,0,0,20000,11117
