Data structure size: 91805747136 bits , construction time: 208150384628 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,211.154,212.329,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,236.379,236.507,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,838.931,837.858,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,652.503,649.85,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1339.87,1336.28,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,820.691,817.227,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,978.724,974.43,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,971.343,967.059,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,966.581,962.245,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,995.619,991.419,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,1119.77,1114.6,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,1203.46,1198.65,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,1322.86,1318.64,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,1418.92,1415.81,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,1447.19,1442.48,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,1553.62,1551.6,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,1600.45,1597.47,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,1646.22,1642.88,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,1675.78,1672.12,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,1942.64,1939.54,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,2224.12,2221.13,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,2302.25,2299.04,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,2404.5,2401.77,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,2660.03,2656.86,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,2724.55,2721.26,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,2723.14,2720.01,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,2750.06,2747.62,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,2785.85,2782.72,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,3258.7,3253.84,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,3819.22,3814.6,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,3907.09,3902.98,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,4698.54,4694.1,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,4719.92,4714.32,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,4796.17,4790.07,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,4815.68,4809.17,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,6183.88,6177.03,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,6179.72,6173.35,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,7511.53,7502.17,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,7619.66,7609.58,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,10162,10153,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,10257.2,10247,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,10401.9,10392.1,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,10533.5,10523.7,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,10627.6,10617.3,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,10750.7,10738.8,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,10850.3,10838.4,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,12043.1,12030.1,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,13432.2,13413.1,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,15062.8,15038.5,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,16723.8,16695.2,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,18549.1,18510.6,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,20434.1,20394.3,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,22313.2,22261.7,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,24249.8,24188.2,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,26271.3,26205,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,56958.5,56814.1,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,90781,90565.8,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,125575,125263,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,162046,161630,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,198941,198425,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,236544,235915,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,273919,273209,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,312190,311414,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,351118,350225,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,743588,741633,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.14659e+06,1.14363e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.52619e+06,1.52268e+06,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,1.91245e+06,1.9083e+06,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,2.30026e+06,2.29519e+06,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,2.69146e+06,2.68555e+06,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,3.07864e+06,3.07211e+06,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,3.46827e+06,3.46117e+06,ns,,,,,,0,0,9e+07,10000
