Data structure size: 91888813824 bits , construction time: 35539077820 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,216.663,217.079,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,232.627,232.526,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,840.685,839.283,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,632.335,629.866,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1312.24,1308.08,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,759.529,755.099,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,821.57,818.074,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,811.763,808.227,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,815.198,810.987,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,834.989,830.809,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,939.086,934.453,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,981.373,977.315,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,1031.99,1028.05,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,1056.84,1052.91,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,1074.8,1071.41,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,1096.72,1092.39,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,1111.26,1107.25,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,1125.35,1121.67,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,1142.3,1138.31,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,1216.98,1213.79,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,1321.77,1318.68,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,1372.04,1368.44,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,1416.72,1414.49,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,1482.84,1480.02,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,1504.37,1502.15,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,1504.76,1501.78,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,1509.27,1507.11,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,1530.09,1527.2,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,1668.56,1664.76,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,1747.21,1743.05,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,1762.17,1758.4,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,1950.09,1946.55,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,1962.93,1958.57,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,1960.21,1955.56,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,1977.8,1973.72,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,2230.37,2225.55,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,2219.15,2214.8,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,2632.46,2626.4,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,2688.93,2682.95,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,3236.14,3232.05,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,3350.9,3346.01,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,3455.37,3450.3,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,3591.09,3585.73,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,3669,3663.44,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,3795.31,3790.08,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,3902.15,3895.97,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,5076.69,5066.72,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,6482.54,6467.33,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,8092.79,8070.22,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,9787.29,9759.21,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,11595.2,11558.5,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,13496.7,13449.9,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,15371.5,15322.4,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,17265.9,17211.1,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,19287,19222.7,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,49904.3,49778.1,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,83771.3,83569.7,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,118428,118153,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,154713,154349,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,191563,191123,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,229059,228551,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,266542,265971,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,304991,304330,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,343819,343078,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,737158,735561,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,1.14038e+06,1.13782e+06,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,1.51996e+06,1.51695e+06,ns,,,,,,0,0,4e+07,10000
