Data structure size: 91888813824 bits , construction time: 35490149993 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,220.162,219.747,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,230.257,230.911,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,831.38,829.976,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,630.796,628.221,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,1310.93,1306.6,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,758.146,754.431,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,837.867,833.916,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,805.947,801.573,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,813.993,809.374,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,829.999,825.072,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,937.811,933.616,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,985.427,981.107,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,1042.06,1038.16,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,1038.51,1034.2,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,1062.59,1059.23,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,1094.89,1090.71,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,1099.29,1096.03,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,1118.66,1115.26,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,1135.69,1132.44,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,1221.56,1218.28,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,1311.64,1308.33,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,1365.95,1363.26,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,1415.52,1412.86,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,1489.6,1485.72,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,1497.21,1494.6,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,1502.07,1498.95,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,1511.54,1509.23,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,1527.83,1525.33,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,1658.45,1654.82,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,1747.37,1744.52,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,1768.3,1764.39,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,1951.57,1947.77,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,1983.93,1980.08,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,1970.79,1966.19,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,1982.36,1978.34,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,2207.97,2204.23,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,2233.03,2229.9,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,2633.13,2627.52,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,2729.67,2724.05,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,3284.29,3278.77,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,3273.74,3266.5,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,3264.55,3257.71,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,3281.04,3274.1,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,3266.34,3257.88,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,3277.34,3270.54,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,3272.78,3264.64,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,3310.52,3299.98,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,3320.97,3309.05,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,3350.79,3336.36,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,3386.6,3368.37,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,3432.81,3410.58,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,3508.2,3483.62,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,3582.01,3550.07,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,3646.89,3610.94,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,3723.6,3682.24,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,4266.63,4161.92,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,4422.75,4301.84,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,4543.49,4412.8,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,4695.92,4550.81,ns,,,,,,0,0,5e+06,10000
"BM_run/6000000/iterations:10000",10000,4783.28,4614.3,ns,,,,,,0,0,6e+06,10000
"BM_run/7000000/iterations:10000",10000,4876.21,4719.02,ns,,,,,,0,0,7e+06,10000
"BM_run/8000000/iterations:10000",10000,5026.61,4855.23,ns,,,,,,0,0,8e+06,10000
"BM_run/9000000/iterations:10000",10000,5115.02,4928.53,ns,,,,,,0,0,9e+06,10000
"BM_run/10000000/iterations:10000",10000,5157.64,4982.58,ns,,,,,,0,0,1e+07,10000
"BM_run/20000000/iterations:10000",10000,5478.14,5262.79,ns,,,,,,0,0,2e+07,10000
"BM_run/30000000/iterations:10000",10000,5703.06,5407.83,ns,,,,,,0,0,3e+07,10000
"BM_run/40000000/iterations:10000",10000,5874.51,5514.93,ns,,,,,,0,0,4e+07,10000
"BM_run/50000000/iterations:10000",10000,5946.78,5556.11,ns,,,,,,0,0,5e+07,10000
"BM_run/60000000/iterations:10000",10000,6120.75,5627.37,ns,,,,,,0,0,6e+07,10000
"BM_run/70000000/iterations:10000",10000,6198.94,5689.45,ns,,,,,,0,0,7e+07,10000
"BM_run/80000000/iterations:10000",10000,6247.99,5712.93,ns,,,,,,0,0,8e+07,10000
"BM_run/90000000/iterations:10000",10000,6265.44,5714.85,ns,,,,,,0,0,9e+07,10000
