Data structure size: 13421773248 bits , construction time: 3388055609 ns
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"empty","errors","length","occurrences"
"BM_run/1/iterations:10000",10000,2.07053e+07,2.06942e+07,ns,,,,,,0,0,1,1.23596e+11
"BM_run/2/iterations:10000",10000,1.31926e+06,1.31855e+06,ns,,,,,,0,0,2,7.51943e+09
"BM_run/3/iterations:10000",10000,85927.8,85880.2,ns,,,,,,0,0,3,4.67006e+08
"BM_run/4/iterations:10000",10000,9229.87,9224.89,ns,,,,,,0,0,4,3.47167e+07
"BM_run/5/iterations:10000",10000,3554.45,3554.81,ns,,,,,,0,0,5,6.08656e+06
"BM_run/6/iterations:10000",10000,2731.95,2732.09,ns,,,,,,0,0,6,3.42475e+06
"BM_run/7/iterations:10000",10000,2652.43,2651.78,ns,,,,,,0,0,7,3.25959e+06
"BM_run/8/iterations:10000",10000,2597.94,2596.67,ns,,,,,,0,0,8,2.84548e+06
"BM_run/9/iterations:10000",10000,2517.17,2515.78,ns,,,,,,0,0,9,2.38462e+06
"BM_run/10/iterations:10000",10000,2465.05,2464.12,ns,,,,,,0,0,10,2.10077e+06
"BM_run/20/iterations:10000",10000,2307.51,2306,ns,,,,,,0,0,20,970235
"BM_run/30/iterations:10000",10000,2411.64,2410.52,ns,,,,,,0,0,30,565345
"BM_run/40/iterations:10000",10000,2575.97,2574.47,ns,,,,,,0,0,40,405119
"BM_run/50/iterations:10000",10000,2586.33,2584.04,ns,,,,,,0,0,50,306863
"BM_run/60/iterations:10000",10000,2588.36,2586.63,ns,,,,,,0,0,60,255801
"BM_run/70/iterations:10000",10000,2573.14,2570.97,ns,,,,,,0,0,70,240016
"BM_run/80/iterations:10000",10000,2597.54,2594.71,ns,,,,,,0,0,80,212291
"BM_run/90/iterations:10000",10000,2610.8,2607.98,ns,,,,,,0,0,90,212683
"BM_run/100/iterations:10000",10000,2561.77,2559.34,ns,,,,,,0,0,100,183307
"BM_run/200/iterations:10000",10000,2616.82,2614.82,ns,,,,,,0,0,200,146169
"BM_run/300/iterations:10000",10000,2684.92,2682.24,ns,,,,,,0,0,300,117737
"BM_run/400/iterations:10000",10000,2723.07,2720.11,ns,,,,,,0,0,400,100659
"BM_run/500/iterations:10000",10000,2783.27,2781.04,ns,,,,,,0,0,500,87728
"BM_run/600/iterations:10000",10000,2810.98,2808.65,ns,,,,,,0,0,600,80408
"BM_run/700/iterations:10000",10000,2851.83,2848.12,ns,,,,,,0,0,700,72011
"BM_run/800/iterations:10000",10000,2853.99,2851.25,ns,,,,,,0,0,800,56997
"BM_run/900/iterations:10000",10000,2907.69,2904.18,ns,,,,,,0,0,900,53101
"BM_run/1000/iterations:10000",10000,2952.87,2950.52,ns,,,,,,0,0,1000,45501
"BM_run/2000/iterations:10000",10000,3385.51,3382.69,ns,,,,,,0,0,2000,22349
"BM_run/3000/iterations:10000",10000,3828.46,3821.79,ns,,,,,,0,0,3000,17078
"BM_run/4000/iterations:10000",10000,4268.25,4262.09,ns,,,,,,0,0,4000,16089
"BM_run/5000/iterations:10000",10000,4735.92,4729.81,ns,,,,,,0,0,5000,13966
"BM_run/6000/iterations:10000",10000,5065.87,5059.44,ns,,,,,,0,0,6000,12370
"BM_run/7000/iterations:10000",10000,5482.04,5474.01,ns,,,,,,0,0,7000,12011
"BM_run/8000/iterations:10000",10000,5896.06,5888.74,ns,,,,,,0,0,8000,10971
"BM_run/9000/iterations:10000",10000,6332.28,6324.71,ns,,,,,,0,0,9000,11701
"BM_run/10000/iterations:10000",10000,6724.46,6716.4,ns,,,,,,0,0,10000,11075
"BM_run/20000/iterations:10000",10000,10861.7,10850.1,ns,,,,,,0,0,20000,10161
"BM_run/30000/iterations:10000",10000,14985.6,14968.1,ns,,,,,,0,0,30000,10005
"BM_run/40000/iterations:10000",10000,19163.2,19143.3,ns,,,,,,0,0,40000,10001
"BM_run/50000/iterations:10000",10000,23259.5,23236.6,ns,,,,,,0,0,50000,10000
"BM_run/60000/iterations:10000",10000,27370.4,27341.5,ns,,,,,,0,0,60000,10000
"BM_run/70000/iterations:10000",10000,31532.2,31498.7,ns,,,,,,0,0,70000,10000
"BM_run/80000/iterations:10000",10000,35646,35607.4,ns,,,,,,0,0,80000,10000
"BM_run/90000/iterations:10000",10000,39761.1,39720.8,ns,,,,,,0,0,90000,10000
"BM_run/100000/iterations:10000",10000,43851.9,43806.6,ns,,,,,,0,0,100000,10000
"BM_run/200000/iterations:10000",10000,85038.1,84950.3,ns,,,,,,0,0,200000,10000
"BM_run/300000/iterations:10000",10000,126414,126285,ns,,,,,,0,0,300000,10000
"BM_run/400000/iterations:10000",10000,167818,167646,ns,,,,,,0,0,400000,10000
"BM_run/500000/iterations:10000",10000,209281,209067,ns,,,,,,0,0,500000,10000
"BM_run/600000/iterations:10000",10000,250577,250318,ns,,,,,,0,0,600000,10000
"BM_run/700000/iterations:10000",10000,291935,291631,ns,,,,,,0,0,700000,10000
"BM_run/800000/iterations:10000",10000,333332,332985,ns,,,,,,0,0,800000,10000
"BM_run/900000/iterations:10000",10000,374530,374086,ns,,,,,,0,0,900000,10000
"BM_run/1000000/iterations:10000",10000,415806,415367,ns,,,,,,0,0,1e+06,10000
"BM_run/2000000/iterations:10000",10000,827506,826491,ns,,,,,,0,0,2e+06,10000
"BM_run/3000000/iterations:10000",10000,1.23805e+06,1.23649e+06,ns,,,,,,0,0,3e+06,10000
"BM_run/4000000/iterations:10000",10000,1.64967e+06,1.64753e+06,ns,,,,,,0,0,4e+06,10000
"BM_run/5000000/iterations:10000",10000,2.06084e+06,2.05818e+06,ns,,,,,,0,0,5e+06,10000
